year,domain,section,setback_dunestart_m,setback_dunestart_floored_m,setback_model_m,drowns_at_init,relocated_seaward_m,n_road_profiles,setback_p10_m,setback_p90_m,setback_min_m,setback_max_m,setback_center_m,measured_road_width_m,road_elev_mhw_median,road_elev_mhw_mean,road_elev_std_m,road_elev_navd_median,n_road_cells,water_frac,obliquity_deg,shear_max_cells,lead_trim_rows,window,flags,setback_legacy_m,delta_vs_legacy_m
2004,45,Avon-Tri-Village / Wimble Shoals,150.0,150.0,150.0,no,0.0,50,140.0,160.0,140.0,160.0,155.0,20.0,0.706,0.72,0.155,1.066,112,0.0,3.5,3,0,"[6,9]",,150.0,0.0
2004,46,Avon-Tri-Village / Wimble Shoals,140.0,140.0,140.0,no,0.0,50,130.0,150.0,130.0,150.0,145.0,20.0,0.862,0.889,0.137,1.222,112,0.0,3.77,3,0,"[5,9]",,148.0,8.0
2004,47,Avon-Tri-Village / Wimble Shoals,140.0,140.0,140.0,no,0.0,50,140.0,150.0,140.0,150.0,150.0,20.0,0.85,0.886,0.174,1.21,116,0.0,1.64,1,0,"[4,10]",,152.0,12.0
2004,48,Avon-Tri-Village / Wimble Shoals,120.0,120.0,120.0,no,0.0,50,99.0,150.0,90.0,150.0,125.0,20.0,0.885,0.892,0.122,1.245,112,0.0,5.86,5,0,"[4,15]",SCATTER_SETBACK(51m),143.0,23.0
2004,49,Avon-Tri-Village / Wimble Shoals,130.0,130.0,130.0,no,0.0,50,100.0,130.0,90.0,140.0,135.0,20.0,0.877,0.886,0.115,1.237,116,0.0,4.97,4,0,"[7,14]",,129.0,-1.0
2004,50,Avon-Tri-Village / Wimble Shoals,110.0,110.0,110.0,no,0.0,50,110.0,130.0,90.0,130.0,120.0,20.0,0.806,0.85,0.221,1.166,112,0.0,0.39,0,0,"[8,14]",,110.0,0.0
2004,51,Avon-Tri-Village / Wimble Shoals,120.0,120.0,120.0,no,0.0,50,100.0,140.0,100.0,150.0,130.0,20.0,0.802,0.818,0.165,1.162,113,0.0,5.75,5,0,"[7,11]",,105.0,-15.0
2004,52,Avon-Tri-Village / Wimble Shoals,95.0,95.0,95.0,no,0.0,50,80.0,110.0,80.0,150.0,102.5,20.0,0.557,0.587,0.199,0.917,116,0.0,6.98,6,0,"[5,15]",,101.0,6.0
2004,53,Avon-Tri-Village / Wimble Shoals,140.0,140.0,140.0,no,0.0,50,129.0,140.0,100.0,150.0,145.0,20.0,0.622,0.677,0.271,0.982,117,0.0,5.31,5,0,"[6,12]",,91.0,-49.0
2004,54,Avon-Tri-Village / Wimble Shoals,150.0,150.0,150.0,no,0.0,50,140.0,160.0,130.0,160.0,155.0,20.0,0.789,0.789,0.141,1.149,115,0.0,7.87,7,0,"[5,11]",,106.0,-44.0
2004,55,Avon-Tri-Village / Wimble Shoals,160.0,160.0,160.0,no,0.0,50,150.0,170.0,130.0,170.0,165.0,20.0,0.773,0.778,0.148,1.133,118,0.0,8.29,7,0,"[6,11]",,177.0,17.0
2004,56,Avon-Tri-Village / Wimble Shoals,180.0,180.0,180.0,no,0.0,50,170.0,180.0,170.0,190.0,185.0,20.0,0.569,0.566,0.14,0.929,114,0.0,9.57,8,0,"[6,11]",,199.0,19.0
