scenario,kind,domain,setback_m,verdict,road_off_island,pct_road_cells_water,pct_profiles_road_submerged,pct_bayside_water,pct_seaside_water,pct_findwidths_disagree,road_start_cell,road_end_cell,border_row,domain_width_rows,iw_min,iw_p20,iw_median,iw_max,largest_fitting_setback_m,narrow_label,pct_profiles_land_behind,land_behind_median_cells,gap_median_cells,relocation_road_ele_m,relocation_ele_refuses,average_barrier_width_m,relocation_width_refuses,topo_product,topo_version
2004 initial,initial,21,125.0,FITS,False,0.0,0.0,0.0,0.0,0.0,12,14,15,113,25,42,44,71,610.0,HOLED,90.0,24,2,,,,,2004-start,v1
2004 initial,initial,22,190.0,FITS,False,0.0,0.0,0.0,0.0,0.0,19,21,22,128,34,38,44,100,890.0,HOLED,98.0,42,2,,,,,2004-start,v1
2004 initial,initial,23,190.0,FITS,False,0.0,0.0,0.0,0.0,0.0,19,21,22,133,41,48,64,93,890.0,HOLED,100.0,39,1,,,,,2004-start,v1
2004 initial,initial,24,170.0,FITS,False,0.0,0.0,0.0,0.0,0.0,17,19,20,137,46,55,86,106,920.0,HOLED,100.0,21,2,,,,,2004-start,v1
2004 initial,initial,25,160.0,FITS,False,0.0,0.0,0.0,0.0,0.0,16,18,19,134,38,48,76,112,1010.0,HOLED,96.0,26,1,,,,,2004-start,v1
2004 initial,initial,26,205.0,FITS,False,2.0,0.0,0.0,6.0,8.0,20,22,23,147,17,45,67,116,1050.0,HOLED,86.0,35,1,,,,,2004-start,v1
2004 initial,initial,27,260.0,FITS,False,0.0,0.0,0.0,0.0,0.0,26,28,29,161,40,72,83,121,1080.0,HOLED,84.0,30,1,,,,,2004-start,v1
2004 initial,initial,28,270.0,FITS,False,0.0,0.0,0.0,0.0,0.0,27,29,30,166,46,48,79,114,1150.0,HOLED,100.0,36,1,,,,,2004-start,v1
2004 initial,initial,29,260.0,FITS,False,0.0,0.0,0.0,0.0,0.0,26,28,29,155,38,47,87,121,990.0,HOLED,94.0,26,1,,,,,2004-start,v1
2004 initial,initial,30,270.0,FITS,False,0.0,0.0,0.0,0.0,0.0,27,29,30,142,33,52,62,83,740.0,HOLED,90.0,20,1,,,,,2004-start,v1
2004 initial,initial,31,230.0,FITS,False,0.0,0.0,0.0,0.0,0.0,23,25,26,140,30,32,41,67,340.0,HOLED,60.0,1,2,,,,,2004-start,v1
2004 initial,initial,32,210.0,FITS,False,0.0,0.0,0.0,0.0,0.0,21,23,24,144,32,44,46,50,420.0,TRUE_END,12.0,0,2,,,,,2004-start,v1
2004 initial,initial,33,250.0,FITS,False,0.0,0.0,0.0,0.0,0.0,25,27,28,149,30,44,46,53,430.0,MIXED,36.0,0,1,,,,,2004-start,v1
2004 initial,initial,34,320.0,FITS,False,0.0,0.0,0.0,0.0,0.0,32,34,35,150,41,43,46,52,400.0,TRUE_END,12.0,0,1,,,,,2004-start,v1
2004 initial,initial,35,320.0,FITS,False,0.0,0.0,2.0,0.0,2.0,32,34,35,129,33,42,44,52,400.0,MIXED,22.0,0,1,,,,,2004-start,v1
2004 initial,initial,36,330.0,FITS,False,0.0,0.0,0.0,0.0,0.0,33,35,36,133,51,52,54,60,490.0,TRUE_END,14.0,0,4,,,,,2004-start,v1
2004 initial,initial,37,320.0,FITS,False,0.0,0.0,0.0,0.0,0.0,32,34,35,157,53,57,78,86,740.0,HOLED,56.0,1,1,,,,,2004-start,v1
2004 initial,initial,38,280.0,FITS,False,0.0,0.0,0.0,0.0,0.0,28,30,31,165,69,78,81,88,770.0,TRUE_END,20.0,0,1,,,,,2004-start,v1
2004 initial,initial,39,230.0,FITS,False,0.0,0.0,0.0,0.0,0.0,23,25,26,170,68,69,71,77,660.0,TRUE_END,10.0,0,1,,,,,2004-start,v1
2004 initial,initial,40,210.0,FITS,False,0.0,0.0,0.0,0.0,0.0,21,23,24,172,53,63,70,75,640.0,MIXED,34.0,0,1,,,,,2004-start,v1
2004 initial,initial,41,190.0,FITS,False,0.0,0.0,0.0,0.0,0.0,19,21,22,174,43,52,54,58,490.0,HOLED,58.0,1,3,,,,,2004-start,v1
2004 initial,initial,42,180.0,FITS,False,0.0,0.0,0.0,0.0,0.0,18,20,21,176,41,42,60,65,560.0,HOLED,56.0,1,1,,,,,2004-start,v1
2004 initial,initial,43,170.0,FITS,False,0.0,0.0,0.0,0.0,0.0,17,19,20,179,53,61,63,66,590.0,TRUE_END,18.0,0,1,,,,,2004-start,v1
2004 initial,initial,44,160.0,FITS,False,0.0,0.0,0.0,0.0,0.0,16,18,19,169,46,50,53,66,530.0,HOLED,58.0,4,1,,,,,2004-start,v1
2004 initial,initial,45,150.0,FITS,False,0.0,0.0,0.0,0.0,0.0,15,17,18,155,32,38,41,56,360.0,HOLED,88.0,5,2,,,,,2004-start,v1
2004 initial,initial,46,140.0,FITS,False,0.0,0.0,0.0,0.0,0.0,14,16,17,140,33,38,40,46,360.0,HOLED,90.0,2,2,,,,,2004-start,v1
2004 initial,initial,47,140.0,FITS,False,0.0,0.0,0.0,0.0,0.0,14,16,17,126,29,32,34,41,300.0,HOLED,70.0,1,2,,,,,2004-start,v1
2004 initial,initial,48,120.0,FITS,False,0.0,0.0,0.0,0.0,0.0,12,14,15,116,21,23,25,30,200.0,TRUE_END,18.0,0,1,,,,,2004-start,v1
2004 initial,initial,49,130.0,FITS,False,0.0,0.0,0.0,0.0,0.0,13,15,16,95,20,22,23,27,190.0,TRUE_END,0.0,0,0,,,,,2004-start,v1
2004 initial,initial,50,110.0,FITS,False,0.0,0.0,0.0,0.0,0.0,11,13,14,86,15,19,21,24,160.0,TRUE_END,4.0,0,1,,,,,2004-start,v1
2004 initial,initial,51,120.0,FITS,False,0.0,0.0,0.0,0.0,0.0,12,14,15,54,18,22,24,28,190.0,TRUE_END,4.0,0,3,,,,,2004-start,v1
2004 initial,initial,52,95.0,FITS,False,0.0,0.0,0.0,0.0,0.0,9,11,12,59,15,18,21,27,160.0,TRUE_END,8.0,0,1,,,,,2004-start,v1
2004 initial,initial,53,140.0,FITS,False,0.0,0.0,0.0,0.0,0.0,14,16,17,53,18,23,26,33,210.0,MIXED,32.0,0,1,,,,,2004-start,v1
2004 initial,initial,54,150.0,FITS,False,0.0,0.0,0.0,0.0,0.0,15,17,18,111,22,25,28,45,230.0,HOLED,66.0,1,2,,,,,2004-start,v1
2004 initial,initial,55,160.0,FITS,False,0.0,0.0,0.0,0.0,0.0,16,18,19,106,23,33,36,49,310.0,HOLED,70.0,4,1,,,,,2004-start,v1
2004 initial,initial,56,180.0,FITS,False,0.0,0.0,0.0,0.0,0.0,18,20,21,77,24,26,29,34,240.0,MIXED,28.0,0,2,,,,,2004-start,v1
2004 initial,initial,57,200.0,FITS,False,0.0,0.0,0.0,0.0,0.0,20,22,23,64,24,29,36,45,270.0,TRUE_END,12.0,0,1,,,,,2004-start,v1
2004 initial,initial,58,240.0,FITS,False,0.0,0.0,0.0,0.0,0.0,24,26,27,68,32,40,45,52,390.0,MIXED,36.0,0,2,,,,,2004-start,v1
2004 initial,initial,59,270.0,FITS,False,0.0,0.0,0.0,0.0,0.0,27,29,30,78,42,44,48,61,430.0,HOLED,68.0,2,1,,,,,2004-start,v1
2004 initial,initial,60,310.0,FITS,False,0.0,0.0,0.0,0.0,0.0,31,33,34,102,48,56,62,73,590.0,HOLED,78.0,6,1,,,,,2004-start,v1
2004 initial,initial,61,330.0,FITS,False,0.0,0.0,0.0,0.0,0.0,33,35,36,117,48,53,62,90,900.0,HOLED,96.0,35,1,,,,,2004-start,v1
2004 initial,initial,62,330.0,FITS,False,0.0,0.0,0.0,0.0,0.0,33,35,36,136,56,62,70,103,650.0,HOLED,96.0,13,1,,,,,2004-start,v1
2004 initial,initial,63,330.0,FITS,False,0.0,0.0,0.0,0.0,0.0,33,35,36,139,58,62,65,75,610.0,HOLED,84.0,20,1,,,,,2004-start,v1
