transect_id,gis,dune_vintage,dune_chainage_m,n_crossings,shoreline_chainage_m,beach_width_m
usa_NC_0032_0091,8,2009,57.16,1,81.38,24.22
usa_NC_0032_0091,8,2023,20.92,1,88.35,67.44
usa_NC_0032_0092,8,1997,45.40,1,53.35,7.95
usa_NC_0032_0092,8,2009,25.78,1,45.59,19.81
usa_NC_0032_0092,8,2023,-10.97,1,56.10,67.07
usa_NC_0032_0093,8,1997,54.14,1,63.03,8.89
usa_NC_0032_0093,8,2009,33.53,1,52.80,19.27
usa_NC_0032_0093,8,2023,-3.26,1,67.44,70.70
usa_NC_0032_0094,8,1997,17.84,1,32.48,14.64
usa_NC_0032_0094,8,2009,8.28,1,17.42,9.14
usa_NC_0032_0094,8,2023,-34.09,1,37.83,71.92
usa_NC_0032_0095,8,1997,59.69,1,82.25,22.56
usa_NC_0032_0095,8,2009,55.32,1,67.62,12.30
usa_NC_0032_0095,8,2023,13.17,1,85.51,72.33
usa_NC_0032_0096,9,1997,19.66,1,43.40,23.74
usa_NC_0032_0096,9,2009,6.46,1,25.55,19.09
usa_NC_0032_0096,9,2023,-21.93,1,44.19,66.12
usa_NC_0032_0097,9,1997,46.10,1,65.75,19.65
usa_NC_0032_0097,9,2009,23.88,1,45.10,21.22
usa_NC_0032_0097,9,2023,8.80,1,66.26,57.46
usa_NC_0032_0098,9,1997,44.11,1,58.70,14.59
usa_NC_0032_0098,9,2009,19.88,1,40.40,20.52
usa_NC_0032_0098,9,2023,4.68,1,60.12,55.45
usa_NC_0032_0099,9,1997,40.78,1,55.23,14.45
usa_NC_0032_0099,9,2009,16.55,1,39.20,22.65
usa_NC_0032_0099,9,2023,2.24,1,57.98,55.74
usa_NC_0032_0100,9,1997,38.91,1,54.20,15.29
usa_NC_0032_0100,9,2009,14.60,1,37.50,22.90
usa_NC_0032_0100,9,2023,1.99,1,56.51,54.52
usa_NC_0032_0101,9,1997,36.81,1,53.55,16.74
usa_NC_0032_0101,9,2009,6.35,1,39.80,33.45
usa_NC_0032_0101,9,2023,0.42,1,53.65,53.23
usa_NC_0032_0102,9,1997,37.75,1,58.18,20.44
usa_NC_0032_0102,9,2009,12.73,1,42.53,29.80
usa_NC_0032_0102,9,2023,2.57,1,56.73,54.15
usa_NC_0032_0103,9,1997,39.91,1,61.23,21.33
usa_NC_0032_0103,9,2009,14.47,1,42.09,27.61
usa_NC_0032_0103,9,2023,3.12,1,61.13,58.01
usa_NC_0032_0104,9,1997,37.73,1,57.85,20.12
usa_NC_0032_0104,9,2009,11.21,1,38.83,27.61
usa_NC_0032_0104,9,2023,0.36,1,59.05,58.69
usa_NC_0032_0105,10,1997,42.72,1,58.48,15.76
usa_NC_0032_0105,10,2009,14.28,1,40.46,26.19
usa_NC_0032_0105,10,2023,4.13,1,63.54,59.40
usa_NC_0032_0106,10,1997,44.85,1,58.50,13.65
usa_NC_0032_0106,10,2009,14.24,1,39.39,25.15
usa_NC_0032_0106,10,2023,4.12,1,66.37,62.25
usa_NC_0032_0107,10,1997,51.68,1,69.27,17.58
usa_NC_0032_0107,10,2009,20.74,1,46.51,25.78
usa_NC_0032_0107,10,2023,4.38,1,76.82,72.44
usa_NC_0032_0108,10,1997,46.70,1,64.20,17.50
usa_NC_0032_0108,10,2009,15.21,1,40.37,25.16
usa_NC_0032_0108,10,2023,2.05,1,75.84,73.78
usa_NC_0032_0109,10,1997,48.42,1,59.78,11.37
usa_NC_0032_0109,10,2009,14.91,1,39.70,24.79
usa_NC_0032_0109,10,2023,6.52,1,76.28,69.76
usa_NC_0032_0110,10,1997,57.09,1,73.70,16.61
usa_NC_0032_0110,10,2009,22.97,1,48.17,25.21
usa_NC_0032_0110,10,2023,18.61,1,85.10,66.49
usa_NC_0032_0111,10,1997,43.59,1,54.32,10.73
