year,domain,section,setback_dunestart_m,setback_dunestart_floored_m,setback_model_m,drowns_at_init,relocated_seaward_m,n_road_profiles,setback_p10_m,setback_p90_m,setback_min_m,setback_max_m,setback_center_m,measured_road_width_m,road_elev_mhw_median,road_elev_mhw_mean,road_elev_std_m,road_elev_navd_median,n_road_cells,water_frac,obliquity_deg,shear_max_cells,lead_trim_rows,window,flags
1984,38,Avon-Tri-Village / Wimble Shoals,320.0,320.0,nan,,0.0,46,280.0,360.0,270.0,370.0,327.5,20.0,0.589,0.619,0.167,0.949,114,0.0,0.0,0,0,"[7,17]",SCATTER_SETBACK(80m)
1984,39,Avon-Tri-Village / Wimble Shoals,290.0,290.0,nan,,0.0,30,280.0,300.0,270.0,300.0,295.0,20.0,1.092,1.061,0.143,1.452,70,0.0,0.0,0,0,"[4,15]",
1984,40,Avon-Tri-Village / Wimble Shoals,280.0,280.0,nan,,0.0,12,270.0,280.0,270.0,280.0,285.0,20.0,1.06,1.044,0.154,1.42,28,0.0,0.0,0,0,"[4,11]",PARTIAL(12/50)
1984,41,Avon-Tri-Village / Wimble Shoals,250.0,250.0,nan,,0.0,49,230.0,270.0,230.0,270.0,255.0,20.0,1.084,1.082,0.165,1.444,112,0.0,0.0,0,0,"[6,12]",
1984,42,Avon-Tri-Village / Wimble Shoals,250.0,250.0,nan,,0.0,40,240.0,270.0,240.0,280.0,260.0,20.0,0.965,0.968,0.347,1.325,91,0.0,0.0,0,0,"[6,10]",
1984,43,Avon-Tri-Village / Wimble Shoals,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[4,9]",NO_DUNE
1984,44,Avon-Tri-Village / Wimble Shoals,280.0,280.0,nan,,0.0,1,280.0,280.0,280.0,280.0,290.0,30.0,0.881,0.827,0.148,1.241,3,0.0,0.0,0,0,"[4,9]",PARTIAL(1/50)
1984,45,Avon-Tri-Village / Wimble Shoals,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[4,10]",NO_DUNE
1984,46,Avon-Tri-Village / Wimble Shoals,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[7,12]",NO_DUNE
1984,47,Avon-Tri-Village / Wimble Shoals,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[4,9]",NO_DUNE
1984,48,Avon-Tri-Village / Wimble Shoals,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[7,12]",NO_DUNE
1984,49,Avon-Tri-Village / Wimble Shoals,160.0,160.0,nan,,0.0,50,149.0,190.0,140.0,190.0,165.0,20.0,1.157,1.169,0.128,1.517,116,0.0,0.0,0,0,"[9,16]",SCATTER_SETBACK(41m)
1984,50,Avon-Tri-Village / Wimble Shoals,150.0,150.0,nan,,0.0,50,130.0,170.0,120.0,170.0,155.0,20.0,1.066,1.11,0.236,1.426,112,0.0,0.0,0,0,"[7,14]",
1984,51,Avon-Tri-Village / Wimble Shoals,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[4,12]",NO_DUNE
1984,52,Avon-Tri-Village / Wimble Shoals,170.0,170.0,nan,,0.0,50,170.0,180.0,170.0,180.0,180.0,20.0,0.803,0.831,0.142,1.163,116,0.0,0.0,0,0,"[8,18]",
1984,53,Avon-Tri-Village / Wimble Shoals,190.0,190.0,nan,,0.0,48,170.0,210.0,160.0,240.0,195.0,20.0,0.99,0.986,0.185,1.35,111,0.0,0.0,0,0,"[4,12]",
1984,54,Avon-Tri-Village / Wimble Shoals,160.0,160.0,nan,,0.0,50,159.0,180.0,150.0,180.0,170.0,20.0,1.135,1.152,0.107,1.495,115,0.0,0.0,0,0,"[4,14]",
1984,55,Avon-Tri-Village / Wimble Shoals,170.0,170.0,nan,,0.0,50,170.0,180.0,160.0,180.0,180.0,20.0,1.099,1.119,0.115,1.459,118,0.0,0.0,0,0,"[4,16]",
1984,56,Avon-Tri-Village / Wimble Shoals,190.0,190.0,nan,,0.0,50,170.0,210.0,170.0,240.0,195.0,20.0,0.959,0.96,0.121,1.319,114,0.0,0.0,0,0,"[8,16]",
1984,57,Avon-Tri-Village / Wimble Shoals,260.0,260.0,nan,,0.0,27,250.0,270.0,240.0,270.0,265.0,20.0,0.924,0.967,0.14,1.284,62,0.0,0.0,0,0,"[7,19]",
1984,58,Avon-Tri-Village / Wimble Shoals,270.0,270.0,nan,,0.0,43,250.0,290.0,250.0,300.0,275.0,20.0,0.883,0.901,0.108,1.243,101,0.0,0.0,0,0,"[5,17]",
1984,59,Avon-Tri-Village / Wimble Shoals,270.0,270.0,nan,,0.0,50,270.0,280.0,260.0,290.0,280.0,20.0,0.897,0.944,0.16,1.257,117,0.0,0.0,0,0,"[7,18]",
1984,60,Avon-Tri-Village / Wimble Shoals,330.0,330.0,nan,,0.0,49,320.0,360.0,320.0,360.0,340.0,20.0,0.771,0.789,0.15,1.131,116,0.0,0.0,0,0,"[5,18]",
1984,61,Avon-Tri-Village / Wimble Shoals,335.0,335.0,nan,,0.0,50,330.0,361.0,330.0,370.0,342.5,20.0,0.865,0.906,0.195,1.225,122,0.0,0.0,0,0,"[7,22]",
1984,62,Avon-Tri-Village / Wimble Shoals,320.0,320.0,nan,,0.0,50,290.0,330.0,290.0,340.0,330.0,20.0,0.887,0.881,0.192,1.247,118,0.0,0.0,0,0,"[6,24]",
1984,63,Avon-Tri-Village / Wimble Shoals,410.0,410.0,nan,,0.0,33,382.0,430.0,380.0,440.0,415.0,20.0,0.849,0.895,0.203,1.209,80,0.0,0.0,0,0,"[5,17]",SCATTER_SETBACK(48m)
1984,64,Avon-Tri-Village / Wimble Shoals,410.0,410.0,nan,,0.0,49,370.0,430.0,360.0,440.0,420.0,20.0,0.877,0.847,0.217,1.237,116,0.0,0.0,0,0,"[3,23]",SCATTER_SETBACK(60m)
1984,65,Avon-Tri-Village / Wimble Shoals,460.0,460.0,nan,,0.0,11,450.0,460.0,450.0,470.0,465.0,30.0,0.532,0.502,0.132,0.892,28,0.0,0.0,0,0,"[6,14]",PARTIAL(11/50)
1984,66,Avon-Tri-Village / Wimble Shoals,450.0,450.0,nan,,0.0,40,440.0,461.0,400.0,470.0,455.0,20.0,0.462,0.441,0.152,0.822,96,0.0,0.0,0,0,"[13,25]",
1984,67,Avon-Tri-Village / Wimble Shoals,340.0,340.0,nan,,0.0,50,300.0,430.0,290.0,440.0,345.0,20.0,0.519,0.518,0.181,0.879,116,0.0,0.0,0,0,"[10,34]",SCATTER_SETBACK(130m)
1984,68,Tri-Village,595.0,595.0,nan,,0.0,50,570.0,610.0,560.0,700.0,602.5,20.0,0.586,0.581,0.224,0.946,114,0.0,0.0,0,0,"[11,25]",
1984,69,Tri-Village,640.0,640.0,nan,,0.0,50,559.0,680.0,540.0,690.0,645.0,30.0,0.854,0.858,0.137,1.214,131,0.0,0.0,0,0,"[6,20]",SCATTER_SETBACK(121m)
1984,70,Tri-Village,475.0,475.0,nan,,0.0,50,409.0,531.0,380.0,550.0,485.0,30.0,0.789,0.756,0.28,1.149,136,0.0,0.0,0,0,"[5,16]",SCATTER_SETBACK(122m)
1984,71,Tri-Village,420.0,420.0,nan,,0.0,50,400.0,430.0,400.0,440.0,425.0,20.0,0.258,0.252,0.126,0.618,123,0.0,0.0,0,0,"[6,16]",
1984,72,Tri-Village,500.0,500.0,nan,,0.0,50,500.0,510.0,500.0,570.0,505.0,20.0,0.377,0.402,0.135,0.737,106,0.0,0.0,0,0,"[6,14]",
1984,73,Tri-Village,550.0,550.0,nan,,0.0,50,530.0,570.0,530.0,600.0,555.0,20.0,0.514,0.503,0.137,0.874,114,0.0,0.0,0,0,"[7,17]",
1984,74,Tri-Village,670.0,670.0,nan,,0.0,15,654.0,680.0,650.0,690.0,675.0,20.0,0.609,0.633,0.191,0.969,37,0.0,0.0,0,0,"[7,15]",PARTIAL(15/50)
1984,75,Tri-Village,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[5,13]",NO_DUNE
1984,76,Tri-Village,610.0,610.0,nan,,0.0,18,610.0,610.0,610.0,610.0,615.0,20.0,0.51,0.486,0.105,0.87,36,0.0,0.0,0,0,"[4,10]",PARTIAL(18/50)
1984,77,Tri-Village,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[4,8]",NO_DUNE
1984,78,Tri-Village,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[1,9]",NO_DUNE
1984,79,Tri-Village,560.0,560.0,nan,,0.0,47,540.0,610.0,540.0,620.0,570.0,20.0,0.667,0.657,0.253,1.027,115,0.0,0.0,0,0,"[4,12]",SCATTER_SETBACK(70m)
1984,80,Tri-Village,570.0,570.0,nan,,0.0,50,549.0,581.0,540.0,600.0,575.0,20.0,0.59,0.602,0.092,0.95,115,0.0,0.0,0,0,"[4,12]",
1984,81,Tri-Village,430.0,430.0,nan,,0.0,45,370.0,476.0,350.0,530.0,440.0,30.0,0.657,0.654,0.159,1.017,113,0.0,0.0,0,0,"[2,15]",SCATTER_SETBACK(106m)
1984,82,Tri-Village,150.0,150.0,nan,,0.0,50,129.0,231.0,120.0,250.0,160.0,20.0,1.047,0.973,0.236,1.407,114,0.0,0.0,0,0,"[5,18]",SCATTER_SETBACK(102m)
1984,83,Tri-Village,140.0,140.0,nan,,0.0,6,140.0,180.0,140.0,220.0,145.0,20.0,0.999,1.008,0.131,1.359,12,0.0,0.0,0,0,"[3,16]",PARTIAL(6/50)
1984,84,Pea Island / N. Rodanthe,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[2,16]",NO_DUNE
1984,85,Pea Island / N. Rodanthe,-20.0,0.0,nan,,0.0,45,-50.0,50.0,-50.0,60.0,-10.0,30.0,1.84,2.207,1.009,2.2,116,0.0,0.0,0,0,"[4,18]","NEGATIVE(-20->floored 0),SCATTER_SETBACK(100m),SCATTER_ELEV(1.01)"
1984,86,Pea Island / N. Rodanthe,-10.0,0.0,nan,,0.0,50,-30.0,10.0,-30.0,30.0,-5.0,20.0,2.303,2.537,0.943,2.663,119,0.0,0.0,0,0,"[6,16]","NEGATIVE(-10->floored 0),SCATTER_ELEV(0.94)"
1984,87,Pea Island / N. Rodanthe,70.0,70.0,nan,,0.0,41,20.0,130.0,10.0,140.0,80.0,30.0,1.103,1.145,0.213,1.463,107,0.0,0.0,0,0,"[6,15]",SCATTER_SETBACK(110m)
1984,88,Pea Island / N. Rodanthe,160.0,160.0,nan,,0.0,50,120.0,180.0,100.0,190.0,170.0,30.0,1.273,1.374,0.436,1.633,126,0.0,0.0,0,0,"[5,21]",SCATTER_SETBACK(60m)
1984,89,Pea Island / N. Rodanthe,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[1,12]",NO_DUNE
1984,90,Pea Island / N. Rodanthe,210.0,210.0,nan,,0.0,38,170.0,220.0,170.0,220.0,215.0,20.0,0.943,0.923,0.252,1.303,88,0.0,0.0,0,0,"[2,15]",SCATTER_SETBACK(50m)
