year,topo_version,domain,profile,duneline_cell,interior_row0_cell,shift_m
1984,v3,6,13,16.01,17,9.9
1984,v3,6,14,15.43,17,15.7
1984,v3,6,15,15.84,17,11.6
1984,v3,6,16,15.26,17,17.4
1984,v3,6,17,15.68,17,13.2
1984,v3,6,18,15.39,17,16.1
1984,v3,6,19,15.15,17,18.5
1984,v3,6,20,15.92,21,50.8
1984,v3,6,21,15.69,18,23.1
1984,v3,6,22,16.46,19,25.4
1984,v3,6,23,16.23,18,17.7
1984,v3,6,24,15.99,18,20.1
1984,v3,6,25,16.76,19,22.4
1984,v3,6,26,16.53,19,24.7
1984,v3,6,27,17.3,19,17.0
1984,v3,6,28,17.07,19,19.3
1984,v3,6,29,16.83,19,21.7
1984,v3,6,30,17.6,19,14.0
1984,v3,6,31,17.37,19,16.3
1984,v3,6,32,17.14,19,18.6
1984,v3,6,33,17.91,19,10.9
1984,v3,6,34,17.67,19,13.3
1984,v3,6,35,18.44,20,15.6
1984,v3,6,36,18.21,19,7.9
1984,v3,6,37,17.98,19,10.2
1984,v3,6,38,18.75,20,12.5
1984,v3,6,39,18.51,20,14.9
1984,v3,6,40,19.28,20,7.2
1984,v3,6,41,19.05,20,9.5
1984,v3,6,42,18.82,20,11.8
1984,v3,6,43,19.59,21,14.1
1984,v3,6,44,19.35,21,16.5
1984,v3,6,45,19.12,21,18.8
1984,v3,6,46,19.9,22,21.0
1984,v3,6,47,19.79,22,22.1
1984,v3,6,48,20.67,22,13.3
1984,v3,6,49,20.56,22,14.4
1984,v3,7,0,19.42,22,25.8
1984,v3,7,1,19.31,22,26.9
1984,v3,7,2,19.19,21,18.1
1984,v3,7,3,19.08,21,19.2
1984,v3,7,4,18.96,21,20.4
1984,v3,7,5,18.85,21,21.5
1984,v3,7,6,18.73,21,22.7
1984,v3,7,7,18.62,20,13.8
1984,v3,7,8,18.53,21,24.7
1984,v3,7,9,18.44,20,15.6
1984,v3,7,10,19.35,21,16.5
1984,v3,7,11,19.26,21,17.4
1984,v3,7,12,19.16,21,18.4
1984,v3,7,13,19.07,21,19.3
1984,v3,7,14,18.98,21,20.2
1984,v3,7,15,18.89,21,21.1
1984,v3,7,16,18.8,21,22.0
1984,v3,7,17,18.71,21,22.9
1984,v3,7,18,18.61,21,23.9
1984,v3,7,19,18.52,21,24.8
1984,v3,7,20,18.43,21,25.7
1984,v3,7,21,19.34,22,26.6
1984,v3,7,22,19.25,22,27.5
1984,v3,7,23,19.2,22,28.0
1984,v3,7,24,19.17,21,18.3
1984,v3,7,25,19.15,21,18.5
1984,v3,7,26,19.12,21,18.8
1984,v3,7,27,19.1,21,19.0
1984,v3,7,28,19.07,21,19.3
