domain_number,coastsat_loess_m_yr,endpoint_raw_m_yr,endpoint_loess_m_yr,cs_endpoint_raw_m_yr,cs_endpoint_loess_m_yr,model_endpoint_coastsat_m_yr,model_lrr_coastsat_m_yr,resid_lrr_coastsat_vs_coastsat_loess_m_yr,resid_endpoint_coastsat_vs_endpoint_raw_m_yr,resid_endpoint_coastsat_vs_endpoint_loess_m_yr,resid_endpoint_coastsat_vs_cs_endpoint_raw_m_yr,resid_endpoint_coastsat_vs_cs_endpoint_loess_m_yr,model_endpoint_dunemean3_m_yr,model_lrr_dunemean3_m_yr,resid_lrr_dunemean3_vs_coastsat_loess_m_yr,resid_endpoint_dunemean3_vs_endpoint_raw_m_yr,resid_endpoint_dunemean3_vs_endpoint_loess_m_yr,resid_endpoint_dunemean3_vs_cs_endpoint_raw_m_yr,resid_endpoint_dunemean3_vs_cs_endpoint_loess_m_yr,model_endpoint_duneraw_m_yr,model_lrr_duneraw_m_yr,resid_lrr_duneraw_vs_coastsat_loess_m_yr,resid_endpoint_duneraw_vs_endpoint_raw_m_yr,resid_endpoint_duneraw_vs_endpoint_loess_m_yr,resid_endpoint_duneraw_vs_cs_endpoint_raw_m_yr,resid_endpoint_duneraw_vs_cs_endpoint_loess_m_yr
32,1.2394140657995432,3.472,3.192098284240951,2.155,1.4062938735114852,-0.5020076984507795,-0.6386876944324298,-1.878101760231973,-3.9740076984507793,-3.69410598269173,-2.657007698450779,-1.9083015719622647,-0.5010695940799451,-0.6384645230378845,-1.8778785888374276,-3.973069594079945,-3.693167878320896,-2.656069594079945,-1.9073634675914302,-0.5003939668056774,-0.6380109680676991,-1.8774250338672422,-3.9723939668056776,-3.6924922510466285,-2.6553939668056774,-1.9066878403171625
33,0.5974296395589856,3.138,3.14375949870067,0.673,0.9400383848895344,-0.7146555743627687,-0.7792715336699961,-1.3767011732289818,-3.8526555743627684,-3.858415073063439,-1.3876555743627688,-1.6546939592523031,-0.7140909095605821,-0.7792682266222739,-1.3766978661812597,-3.852090909560582,-3.857850408261252,-1.3870909095605821,-1.6541292944501165,-0.713642732901917,-0.7789746656880633,-1.376404305247049,-3.851642732901917,-3.857402231602587,-1.386642732901917,-1.6536811177914514
34,-0.07104598126055674,3.083,2.858528958020764,-0.363,0.34421237954681894,-0.9927685635402668,-0.9440155775015135,-0.8729695962409568,-4.075768563540267,-3.8512975215610306,-0.6297685635402668,-1.3369809430870858,-0.9937485896782164,-0.9443718611642444,-0.8733258799036877,-4.076748589678217,-3.8522775476989803,-0.6307485896782165,-1.3379609692250354,-0.9934539292084082,-0.9441834247267666,-0.8731374434662099,-4.076453929208409,-3.851982887229172,-0.6304539292084083,-1.3376663087552272
35,-0.6696109969615823,3.208,2.3836022831595782,-0.354,-0.20255385084893895,-1.141510833349639,-1.076980409702746,-0.4073694127411637,-4.3495108333496395,-3.5251131165092175,-0.7875108333496391,-0.9389569825007001,-1.1416238397117922,-1.0771899418209148,-0.40757894485933244,-4.349623839711793,-3.5252261228713704,-0.7876238397117922,-0.9390699888628532,-1.141431756662041,-1.077069938259014,-0.40745894129743176,-4.3494317566620415,-3.5250340398216196,-0.7874317566620411,-0.9388779058131022
36,-1.1228063132277417,2.408,1.7808703668134105,-0.691,-0.6022495540454564,-1.347585255441936,-1.2076144858366988,-0.08480817260895712,-3.755585255441936,-3.1284556222553466,-0.6565852554419361,-0.7453357013964796,-1.347540241472143,-1.2077313705222286,-0.08492505729448685,-3.7555402414721426,-3.128410608285553,-0.656540241472143,-0.7452906874266865,-1.3474160395188846,-1.2076555183776845,-0.08484920514994276,-3.7554160395188845,-3.128286406332295,-0.6564160395188846,-0.7451664854734281
37,-1.3743549758023736,1.339,1.1310663665510705,-1.016,-0.8485370217697067,-1.5147444071946663,-1.2948434667160933,0.07951150908628035,-2.8537444071946663,-2.645810773745737,-0.4987444071946663,-0.6662073854249596,-1.515293290045156,-1.2949562953988958,0.07939868040347786,-2.854293290045156,-2.6463596565962266,-0.4992932900451559,-0.6667562682754492,-1.5152136729312589,-1.294908733039086,0.0794462427632876,-2.854213672931259,-2.6462800394823294,-0.49921367293125885,-0.6666766511615522
38,-1.430046108136338,-0.178,0.4852233696711246,-1.238,-1.005015604450819,-1.4886420066450228,-1.3031634438270132,0.12688266430932482,-1.3106420066450228,-1.9738653763161473,-0.2506420066450228,-0.48362640219420383,-1.487959732332456,-1.3029320340777146,0.1271140740586234,-1.309959732332456,-1.9731831020035806,-0.24995973233245605,-0.4829441278816371,-1.4879091210126716,-1.3029024403461946,0.1271436677901434,-1.3099091210126717,-1.9731324906837961,-0.2499091210126716,-0.48289351656185264
39,-1.394000406952508,-0.85,-0.0926041275941514,-1.092,-1.1078031160194546,-1.397940309481419,-1.252691484538098,0.14130892241440995,-0.5479403094814189,-1.3053361818872675,-0.3059403094814188,-0.2901371934619643,-1.3975835563494912,-1.252388726635669,0.14161168031683902,-0.5475835563494912,-1.3049794287553398,-0.3055835563494911,-0.2897804403300366,-1.3975516435530153,-1.252370450454949,0.14162995649755894,-0.5475516435530153,-1.304947515958864,-0.30555164355301523,-0.28974852753356073
40,-1.3053690171415782,-1.001,-0.5309017049549505,-1.14,-1.1245386479790338,-1.2207323108678794,-1.1462006283418729,0.1591683887997053,-0.21973231086787948,-0.6898306059129289,-0.08073231086787946,-0.09619366288884557,-1.2196961262126933,-1.1457002846907949,0.15966873245078328,-0.2186961262126934,-0.6887944212577428,-0.0796961262126934,-0.0951574782336595,-1.2196761612727642,-1.1456890792959502,0.15967993784562795,-0.21867616127276435,-0.6887744563178138,-0.07967616127276433,-0.09513751329373044
41,-1.1480704073077521,-0.88,-0.81517117573449,-1.341,-1.0450682968881526,-1.00302026134068,-1.00531655153716,0.14275385577059208,-0.12302026134068,-0.18784908560618996,0.33797973865931996,0.042048035547472606,-1.0031211028734106,-1.0049568080010882,0.1431135993066639,-0.1231211028734106,-0.18794992713892056,0.33787889712658936,0.041947194014742006,-1.0031087047710572,-1.0049499846629546,0.14312042264479752,-0.12310870477105718,-0.18793752903656713,0.3378912952289428,0.041959592117095434
