domain,dom_lrr_p1,dom_lrr_p2,dom_lrr_full,dom_r2_p1,dom_r2_p2,dom_r2_full,dom_n_p1,dom_n_p2,dom_n_full,dom_sc_p1,dom_sc_p2,dom_var_p1,dom_var_p2,dom_var_full,txn_lrr_p1,txn_lrr_p2,txn_class,trajectory,high_var
38,-1.526331168831169,0.05246753246753254,-0.5076001742160279,0.5222014671303312,0.0009565146919725783,0.23749774025696002,21,21,41,0.0,0.1,8.840724362206181,10.267689541263408,10.761594086399285,-1.5475649350649348,0.06269480519480519,Decelerating Erosion,Decelerating Erosion,False
39,-1.322435064935065,0.17753246753246746,-0.435640243902439,0.5372988154791475,0.012078756710897535,0.21956670945397128,21,21,41,0.1,0.1,7.431088534069216,9.722177588612684,9.717994680054955,-1.2514285714285718,0.23788961038961032,Decelerating Erosion,Decelerating Erosion,False
40,-1.0511688311688312,0.351883116883117,-0.24441637630662005,0.4099809786281035,0.06425259437913702,0.09742193290153296,21,21,41,0.1,0.0,7.635884359560938,8.131452457478513,8.80254665909112,-1.0138311688311687,0.3634415584415585,Decelerating Erosion,Decelerating Erosion,False
41,-1.8077922077922073,0.11172077922077904,-0.26950783972125447,0.6962530367519084,0.00585518027403964,0.08485265127419717,21,21,41,0.0,0.0,7.230305478035453,8.81504153062608,10.472448307571181,-1.7712012987012988,0.26233766233766237,Decelerating Erosion,Decelerating Erosion,False
42,-1.6263636363636362,0.09055194805194812,-0.16747822299651574,0.6963482170703997,0.0037199983077963066,0.036941584687196535,21,21,41,0.1,0.1,6.503214133263633,8.973313650889608,10.117912436623927,-1.7249999999999996,0.04951298701298697,Decelerating Erosion,Decelerating Erosion,False
43,-0.8520779220779222,0.00801948051948059,-0.09258275261324052,0.2214723244256419,5.492768402631908e-05,0.01435314582506284,21,21,41,0.0,0.1,9.673693514747866,6.552007416654791,9.077812915128067,-0.9026298701298701,0.022857142857142687,Persistently Stable,Persistently Stable,False
44,-0.6037987012987011,-0.12448051948051962,0.012539198606271723,0.12186217170995613,0.014830561567868987,0.0002839232481080908,21,21,41,0.1,0.3,9.814649078873641,6.14347046335847,8.803830240957398,-0.6787337662337662,-0.23272727272727273,Persistently Stable,Persistently Stable,False
45,-0.13827922077922097,-0.8875974025974027,-0.22476916376306622,0.013941928704640547,0.3669075839639214,0.10505802092187647,21,21,41,0.2,0.1,7.0417800569412785,7.060036544311134,7.762177685103762,-0.19902597402597405,-0.9093506493506494,Persistently Stable,Persistently Stable,False
46,0.41025974025974016,-1.1168831168831166,-0.5685714285714285,0.0959800174057266,0.4629163982931291,0.35938231553471245,21,21,41,0.1,0.0,7.624181367019871,7.28472404709906,8.981940220658077,0.4274025974025974,-1.0583441558441558,Accelerating Erosion,Accelerating Erosion,False
47,-0.1486363636363636,-0.9409415584415585,-0.8698998257839725,0.013024182886187874,0.48954502602514777,0.6408577207808509,21,21,41,0.1,0.2,7.8349963760514685,5.818094412765765,7.705231980551809,-0.18198051948051946,-0.9475324675324674,Persistently Stable,Persistently Stable,False
48,-1.1820129870129872,-0.4758116883116884,-0.8701263066202091,0.44453317206526055,0.15902536460526995,0.6399498703512222,21,21,41,0.2,0.1,8.000828114349025,6.62565884228207,7.722445017396997,-1.1578246753246753,-0.4881493506493507,Decelerating Erosion,Decelerating Erosion,False
49,-2.1375324675324676,-1.0285714285714287,-0.8610452961672475,0.6939052696845021,0.4117369532964898,0.49882581133487597,21,21,41,0.1,0.0,8.596591081410478,7.444679955323004,10.211978824657557,-2.0962662337662334,-0.9981818181818183,Decelerating Erosion,Persistent Erosion,False
50,-1.757727272727273,-0.9113636363636362,-0.9218118466898954,0.7480256921967258,0.324471136242957,0.6425859761890197,21,21,41,0.2,0.1,6.177419284681842,7.962717929797559,8.134417817482102,-1.6212662337662338,-0.8678571428571429,Decelerating Erosion,Decelerating Erosion,False
51,-1.600487012987013,-0.9499675324675325,-1.0119076655052268,0.4916471770360783,0.44042150945871045,0.6468309954711702,21,21,41,0.1,0.2,9.854706958598388,6.483965917577357,8.847096878233923,-1.589025974025974,-0.8346428571428572,Decelerating Erosion,Decelerating Erosion,False
52,-1.6813961038961038,-1.3314935064935065,-1.160962543554007,0.5663667806619342,0.527985066407503,0.7117571522466598,21,21,41,0.1,0.0,8.908778026478613,7.623279060367716,8.741693514904318,-1.6485389610389611,-1.3908441558441558,Persistent Erosion,Persistent Erosion,False
53,-1.536168831168831,-1.2176623376623374,-1.1624477351916376,0.720105298484756,0.5168633699450179,0.8042649228781744,21,21,41,0.1,0.1,5.7992789564886325,7.128689423326606,6.785349469222496,-1.501818181818182,-1.2260714285714287,Persistent Erosion,Persistent Erosion,False
54,-1.3570454545454542,-1.31762987012987,-0.8929442508710803,0.49840402712713183,0.5649589534985564,0.6147090624703081,21,21,41,0.1,0.1,8.243589531242828,7.001414930657228,8.364653443684302,-1.336331168831169,-1.3841558441558441,Persistent Erosion,Persistent Erosion,False
55,-1.050227272727273,-0.8908766233766237,-0.605644599303136,0.366763633281826,0.3988020534143742,0.4419731002526625,21,21,41,0.2,0.1,8.35619946714008,6.623435779717015,8.052143669641847,-1.0561038961038962,-0.8245454545454547,Decelerating Erosion,Decelerating Erosion,False
56,-0.9872077922077925,-0.4913636363636364,-0.3341463414634147,0.2836624361929564,0.20919462929340865,0.17435248914244927,21,21,41,0.1,0.3,9.499532621492413,5.784932130517148,8.603674871637535,-0.9801948051948053,-0.5442207792207792,Persistently Stable,Persistently Stable,False
57,-0.47896103896103887,-0.016785714285714494,-0.19520470383275262,0.08187525180767465,0.0002358131524715491,0.06827236380194336,21,21,41,0.0,0.1,9.712039165468685,6.618206556276552,8.532500360177341,-0.4637987012987016,-0.02243506493506488,Persistently Stable,Persistently Stable,False
58,-0.24279220779220764,0.19305194805194814,0.07202961672473872,0.02176368806985086,0.032777095142765084,0.009895521022343527,21,21,41,0.2,0.3,9.856576637960858,6.35020811992469,8.525037565832346,-0.1890909090909091,0.16071428571428567,Persistently Stable,Persistently Stable,False
