year,domain,section,setback_new_straight_m,setback_new_raw_m,setback_legacy_m,component_frame_m,component_reference_m,total_change_m,island_width_m,total_change_frac_width,elev_new_mhw,elev_legacy_mhw,flags
1984,90,Pea Island / N. Rodanthe,150.0,150.0,190.0,0.0,-40.0,-40.0,750.0,0.05333333333333334,0.498,0.561,
2004,9,Buxton-Avon,50.0,20.0,89.0,30.0,-69.0,-39.0,880.0,0.04431818181818182,1.293,1.331,
2004,10,Buxton-Avon,70.0,10.0,83.0,60.0,-73.0,-13.0,420.0,0.030952380952380953,1.286,1.384,
2004,11,Buxton-Avon,20.0,10.0,81.0,10.0,-71.0,-61.0,190.0,0.32105263157894737,1.499,1.565,
2004,12,Buxton-Avon,20.0,10.0,89.0,10.0,-79.0,-69.0,130.0,0.5307692307692308,1.24,1.373,
2004,13,Buxton-Avon,40.0,20.0,87.0,20.0,-67.0,-47.0,140.0,0.3357142857142857,1.198,1.299,
2004,14,Buxton-Avon,55.0,50.0,93.0,5.0,-43.0,-38.0,160.0,0.2375,1.166,1.319,
2004,15,Buxton-Avon,50.0,50.0,71.0,0.0,-21.0,-21.0,130.0,0.16153846153846155,1.521,1.577,
2004,16,Buxton-Avon,70.0,60.0,63.0,10.0,-3.0,7.0,240.0,0.029166666666666667,0.889,1.005,
2004,17,Buxton-Avon,90.0,90.0,128.0,0.0,-38.0,-38.0,370.0,0.10270270270270271,0.774,0.879,
2004,18,Buxton-Avon,120.0,120.0,148.0,0.0,-28.0,-28.0,565.0,0.049557522123893805,0.82,0.904,
2004,19,Buxton-Avon,130.0,130.0,139.0,0.0,-9.0,-9.0,525.0,0.017142857142857144,0.82,0.944,
2004,20,Buxton-Avon,80.0,80.0,100.0,0.0,-20.0,-20.0,480.0,0.041666666666666664,0.955,0.974,
2004,21,Avon,125.0,120.0,168.0,5.0,-48.0,-43.0,775.0,0.05548387096774193,0.788,0.892,SCATTER_SETBACK(50m)
2004,22,Avon,185.0,180.0,230.0,5.0,-50.0,-45.0,965.0,0.046632124352331605,0.58,0.665,
2004,23,Avon,220.0,180.0,236.0,40.0,-56.0,-16.0,1000.0,0.016,0.651,0.74,
2004,24,Avon,170.0,170.0,224.0,0.0,-54.0,-54.0,980.0,0.05510204081632653,0.618,0.68,
2004,25,Avon,160.0,160.0,221.0,0.0,-61.0,-61.0,990.0,0.06161616161616162,0.64,0.688,
2004,26,Avon,205.0,190.0,269.0,15.0,-79.0,-64.0,1000.0,0.064,0.563,0.609,SCATTER_SETBACK(50m)
2004,27,Avon,260.0,230.0,310.0,30.0,-80.0,-50.0,1030.0,0.04854368932038835,0.654,0.7,SCATTER_SETBACK(50m)
2004,28,Avon,270.0,270.0,320.0,0.0,-50.0,-50.0,1060.0,0.04716981132075472,0.51,0.551,
2004,29,Avon,260.0,260.0,341.0,0.0,-81.0,-81.0,1080.0,0.075,0.361,0.399,
2004,30,Avon,250.0,250.0,332.0,0.0,-82.0,-82.0,920.0,0.0891304347826087,0.368,0.425,
2004,31,Avon,250.0,230.0,312.0,20.0,-82.0,-62.0,590.0,0.10508474576271186,0.41,0.464,
2004,32,Avon-Tri-Village / Wimble Shoals,230.0,210.0,306.0,20.0,-96.0,-76.0,500.0,0.152,0.396,0.447,
2004,33,Avon-Tri-Village / Wimble Shoals,260.0,190.0,367.0,70.0,-177.0,-107.0,520.0,0.20576923076923076,0.383,0.425,
2004,34,Avon-Tri-Village / Wimble Shoals,320.0,310.0,395.0,10.0,-85.0,-75.0,490.0,0.15306122448979592,0.333,0.41,
2004,35,Avon-Tri-Village / Wimble Shoals,320.0,320.0,406.0,0.0,-86.0,-86.0,470.0,0.1829787234042553,0.331,0.404,
2004,36,Avon-Tri-Village / Wimble Shoals,330.0,330.0,392.0,0.0,-62.0,-62.0,560.0,0.11071428571428571,0.339,0.407,
2004,37,Avon-Tri-Village / Wimble Shoals,320.0,320.0,346.0,0.0,-26.0,-26.0,835.0,0.031137724550898204,0.481,0.504,
2004,38,Avon-Tri-Village / Wimble Shoals,280.0,280.0,269.0,0.0,11.0,11.0,845.0,0.01301775147928994,0.589,0.625,
2004,39,Avon-Tri-Village / Wimble Shoals,230.0,230.0,224.0,0.0,6.0,6.0,730.0,0.00821917808219178,0.716,0.771,
2004,40,Avon-Tri-Village / Wimble Shoals,210.0,210.0,211.0,0.0,-1.0,-1.0,740.0,0.0013513513513513514,0.849,0.902,
2004,41,Avon-Tri-Village / Wimble Shoals,190.0,190.0,196.0,0.0,-6.0,-6.0,610.0,0.009836065573770493,0.785,0.818,
2004,42,Avon-Tri-Village / Wimble Shoals,190.0,180.0,180.0,10.0,0.0,10.0,660.0,0.015151515151515152,0.708,0.685,
2004,43,Avon-Tri-Village / Wimble Shoals,170.0,170.0,168.0,0.0,2.0,2.0,670.0,0.0029850746268656717,0.55,0.567,
2004,44,Avon-Tri-Village / Wimble Shoals,160.0,160.0,159.0,0.0,1.0,1.0,640.0,0.0015625,0.535,0.583,
2004,45,Avon-Tri-Village / Wimble Shoals,150.0,150.0,150.0,0.0,0.0,0.0,610.0,0.0,0.706,0.764,
2004,46,Avon-Tri-Village / Wimble Shoals,140.0,140.0,148.0,0.0,-8.0,-8.0,550.0,0.014545454545454545,0.862,0.905,
2004,47,Avon-Tri-Village / Wimble Shoals,140.0,140.0,152.0,0.0,-12.0,-12.0,450.0,0.02666666666666667,0.85,0.873,
