transect_id,domain_number,distance_m,match_method
usa_NC_0033_0120,32.0,0.0,point_in_polygon
usa_NC_0033_0121,32.0,0.0,point_in_polygon
usa_NC_0033_0122,32.0,0.0,point_in_polygon
usa_NC_0033_0123,32.0,0.0,point_in_polygon
usa_NC_0033_0124,32.0,0.0,point_in_polygon
usa_NC_0033_0125,33.0,0.0,point_in_polygon
usa_NC_0033_0126,33.0,0.0,point_in_polygon
usa_NC_0033_0127,33.0,0.0,point_in_polygon
usa_NC_0033_0128,33.0,0.0,point_in_polygon
usa_NC_0033_0129,33.0,0.0,point_in_polygon
usa_NC_0033_0130,33.0,0.0,point_in_polygon
usa_NC_0033_0131,33.0,0.0,point_in_polygon
usa_NC_0033_0132,33.0,0.0,point_in_polygon
usa_NC_0033_0133,33.0,0.0,point_in_polygon
usa_NC_0033_0134,33.0,0.0,point_in_polygon
usa_NC_0033_0135,33.0,0.0,point_in_polygon
usa_NC_0033_0136,34.0,0.0,point_in_polygon
usa_NC_0033_0137,34.0,0.0,point_in_polygon
usa_NC_0033_0138,34.0,0.0,point_in_polygon
usa_NC_0033_0139,34.0,0.0,point_in_polygon
usa_NC_0033_0140,34.0,0.0,point_in_polygon
usa_NC_0033_0141,34.0,0.0,point_in_polygon
usa_NC_0033_0142,34.0,0.0,point_in_polygon
usa_NC_0033_0143,34.0,0.0,point_in_polygon
usa_NC_0033_0144,34.0,0.0,point_in_polygon
usa_NC_0033_0145,34.0,0.0,point_in_polygon
usa_NC_0033_0146,35.0,0.0,point_in_polygon
usa_NC_0033_0147,35.0,0.0,point_in_polygon
usa_NC_0033_0148,35.0,0.0,point_in_polygon
usa_NC_0033_0149,35.0,0.0,point_in_polygon
usa_NC_0033_0150,35.0,0.0,point_in_polygon
usa_NC_0033_0151,35.0,0.0,point_in_polygon
usa_NC_0033_0152,35.0,0.0,point_in_polygon
usa_NC_0033_0153,35.0,0.0,point_in_polygon
usa_NC_0033_0154,35.0,0.0,point_in_polygon
usa_NC_0033_0155,35.0,0.0,point_in_polygon
usa_NC_0033_0156,35.0,0.0,point_in_polygon
usa_NC_0033_0157,36.0,0.0,point_in_polygon
