year,domain,section,setback_new_straight_m,setback_new_raw_m,setback_legacy_m,component_frame_m,component_reference_m,total_change_m,island_width_m,total_change_frac_width,elev_new_mhw,elev_legacy_mhw,flags
2004,37,Avon-Tri-Village / Wimble Shoals,320.0,320.0,346.0,0.0,-26.0,-26.0,1250.0,0.0208,0.481,0.504,
2004,38,Avon-Tri-Village / Wimble Shoals,280.0,280.0,269.0,0.0,11.0,11.0,1555.0,0.00707395498392283,0.589,0.625,
2004,39,Avon-Tri-Village / Wimble Shoals,230.0,230.0,224.0,0.0,6.0,6.0,1600.0,0.00375,0.716,0.776,
2004,40,Avon-Tri-Village / Wimble Shoals,210.0,210.0,211.0,0.0,-1.0,-1.0,1665.0,0.0006006006006006006,0.849,0.904,
2004,41,Avon-Tri-Village / Wimble Shoals,190.0,190.0,196.0,0.0,-6.0,-6.0,1720.0,0.0034883720930232558,0.785,0.818,
2004,42,Avon-Tri-Village / Wimble Shoals,180.0,180.0,180.0,0.0,0.0,0.0,1750.0,0.0,0.708,0.686,
2004,43,Avon-Tri-Village / Wimble Shoals,170.0,170.0,168.0,0.0,2.0,2.0,1775.0,0.0011267605633802818,0.55,0.569,
2004,44,Avon-Tri-Village / Wimble Shoals,160.0,170.0,159.0,-10.0,11.0,1.0,1670.0,0.0005988023952095808,0.535,0.583,
2004,45,Avon-Tri-Village / Wimble Shoals,150.0,150.0,150.0,0.0,0.0,0.0,1315.0,0.0,0.706,0.764,
2004,46,Avon-Tri-Village / Wimble Shoals,140.0,140.0,148.0,0.0,-8.0,-8.0,1305.0,0.006130268199233717,0.862,0.905,
2004,47,Avon-Tri-Village / Wimble Shoals,140.0,140.0,152.0,0.0,-12.0,-12.0,1105.0,0.01085972850678733,0.85,0.873,
2004,48,Avon-Tri-Village / Wimble Shoals,120.0,130.0,143.0,-10.0,-13.0,-23.0,1120.0,0.020535714285714286,0.885,0.937,SCATTER_SETBACK(51m)
2004,49,Avon-Tri-Village / Wimble Shoals,130.0,130.0,129.0,0.0,1.0,1.0,900.0,0.0011111111111111111,0.877,0.942,
