domain_number,target_coastsat_w00_m,target_duneline_w00_m,target_coastsat_w03_m,target_duneline_w03_m,target_coastsat_w05_m,target_duneline_w05_m,target_coastsat_w10_m,target_duneline_w10_m,model_ends_solved_on_coastsat_w00_m,model_ends_solved_on_coastsat_w03_m,model_ends_solved_on_coastsat_w05_m,model_ends_solved_on_coastsat_w10_m,model_ends_solved_on_duneline_w00_m,model_ends_solved_on_duneline_w03_m,model_ends_solved_on_duneline_w05_m,model_ends_solved_on_duneline_w10_m,model_ends_unsolved_w00_m,model_ends_unsolved_w03_m,model_ends_unsolved_w05_m,model_ends_unsolved_w10_m
28,26.632,-4.165,23.969,-3.441,21.214,-3.126,10.852,-2.576,-2.547,-2.547,-2.747,-3.261,-2.559,-2.559,-2.76,-3.344,-2.555,-2.555,-2.756,-3.332
29,40.896,2.311,39.13,8.33,35.489,9.789,16.896,6.049,-3.169,-3.169,-2.809,-3.211,-3.176,-3.176,-2.817,-3.247,-3.173,-3.173,-2.814,-3.242
30,44.423,32.589,42.549,27.562,39.811,22.416,21.79,11.844,-2.553,-2.553,-2.826,-4.279,-2.558,-2.558,-2.832,-4.103,-2.556,-2.556,-2.83,-4.114
31,36.327,35.211,35.223,33.638,34.072,27.894,26.333,14.81,-2.912,-2.912,-3.357,-6.096,-2.915,-2.915,-3.361,-5.784,-2.914,-2.914,-3.361,-5.799
32,20.725,20.427,23.208,22.995,25.564,22.775,26.323,14.646,-4.871,-4.871,-5.593,-8.237,-4.872,-4.872,-5.592,-8.045,-4.872,-4.872,-5.59,-8.032
33,18.949,15.161,19.69,13.59,19.96,11.141,21.107,9.686,-9.259,-9.259,-9.974,-10.945,-9.259,-9.259,-9.973,-11.101,-9.259,-9.259,-9.971,-11.054
34,25.42,4.086,18.347,-3.72,15.212,-3.461,15.268,1.573,-16.019,-16.019,-16.019,-14.473,-16.02,-16.02,-16.02,-14.608,-16.02,-16.02,-16.02,-14.565
35,8.398,-57.401,10.268,-26.038,9.354,-15.15,10.574,-6.704,-23.355,-23.355,-19.901,-16.343,-23.355,-23.355,-19.901,-17.459,-23.355,-23.355,-19.901,-17.335
36,0.083,-32.634,1.497,-35.117,2.901,-24.251,7.115,-13.432,-23.782,-23.782,-23.782,-17.717,-23.782,-23.782,-23.782,-19.42,-23.782,-23.782,-23.782,-19.223
37,-1.689,-29.949,0.309,-30.335,0.677,-27.468,4.478,-18.87,-25.566,-25.566,-24.849,-19.032,-25.566,-25.566,-24.852,-20.909,-25.566,-25.566,-24.854,-20.716
38,1.803,-29.2,1.898,-27.959,1.456,-25.573,3.166,-21.931,-24.995,-24.995,-24.328,-21.514,-24.995,-24.995,-24.329,-21.987,-24.995,-24.995,-24.33,-21.969
39,2.867,-16.7,3.015,-20.075,3.296,-22.041,3.325,-20.935,-22.18,-22.18,-22.065,-22.042,-22.18,-22.18,-22.064,-20.887,-22.18,-22.18,-22.064,-20.971
40,4.678,-20.331,5.148,-18.554,5.105,-18.557,3.957,-17.623,-18.935,-18.935,-18.588,-18.48,-18.935,-18.935,-18.588,-18.176,-18.935,-18.935,-18.589,-18.208
41,8.554,-16.264,6.905,-17.704,5.948,-15.704,4.085,-13.647,-14.495,-14.495,-14.814,-15.107,-14.495,-14.495,-14.814,-15.077,-14.495,-14.495,-14.814,-15.081
42,5.497,-12.13,5.455,-9.63,5.152,-9.211,3.047,-9.745,-11.159,-11.159,-11.23,-11.928,-11.159,-11.159,-11.23,-11.926,-11.159,-11.159,-11.23,-11.926
43,2.661,4.805,2.692,-0.159,2.676,-3.917,0.692,-6.598,-8.077,-8.077,-8.449,-8.969,-8.077,-8.077,-8.448,-8.964,-8.077,-8.077,-8.448,-8.964
44,0.854,-1.918,-0.463,-1.802,-1.498,-0.849,-2.361,-4.659,-6.277,-6.277,-5.886,-6.383,-6.277,-6.277,-5.886,-6.377,-6.277,-6.277,-5.886,-6.378
45,-7.053,-1.801,-7.102,-0.288,-7.103,-0.877,-4.996,-4.634,-3.121,-3.121,-3.439,-4.176,-3.121,-3.121,-3.44,-4.169,-3.121,-3.121,-3.44,-4.169
46,-15.31,3.061,-13.796,-0.424,-11.409,-3.153,-6.777,-6.553,-1.112,-1.112,-1.681,-2.185,-1.112,-1.112,-1.679,-2.176,-1.112,-1.112,-1.678,-2.177
47,-14.395,-9.197,-12.905,-9.837,-11.385,-9.524,-8.048,-10.253,-1.021,-1.021,-0.542,-0.367,-1.021,-1.021,-0.542,-0.357,-1.021,-1.021,-0.542,-0.358
48,-5.612,-22.921,-7.025,-17.98,-8.317,-15.233,-8.868,-15.08,0.742,0.742,1.097,1.231,0.742,0.742,1.099,1.24,0.742,0.742,1.1,1.239
49,-4.097,-13.253,-5.081,-17.104,-6.525,-20.597,-9.079,-20.016,3.837,3.837,3.063,2.615,3.837,3.837,3.069,2.623,3.837,3.837,3.073,2.622
