domain_number,unit_id,transect_id,direction,ref_window,ref_lrr_m_yr,ref_unc_m_yr,ref_n_obs,marked_window,lrr_marked_m_yr,unc_marked_m_yr,diff_marked_m_yr,marked_in_ci,marked_in_abs,marked_in_rel,marked_in_ci3x,marked_in_abs50,marked_in_abs100,marked_in_overlap,first_entry_ci,stable_entry_ci,years_needed_ci,first_entry_abs,stable_entry_abs,years_needed_abs,first_entry_rel,stable_entry_rel,years_needed_rel,first_entry_ci3x,stable_entry_ci3x,years_needed_ci3x,first_entry_abs50,stable_entry_abs50,years_needed_abs50,first_entry_abs100,stable_entry_abs100,years_needed_abs100,first_entry_overlap,stable_entry_overlap,years_needed_overlap
14,GIS 14 mean,GIS 14 mean,backward,1996_2024,1.0569,0.1852,5028,2010_2024,3.6033,0.43,2.5464,False,False,False,False,False,False,False,1997,1997,28,1998,1998,27,1998,1998,27,2001,2001,24,2001,2001,24,2002,2002,23,2000,2000,25
15,GIS 15 mean,GIS 15 mean,backward,1996_2024,1.2523,0.1715,5089,2010_2024,3.5853,0.4226,2.333,False,False,False,False,False,False,False,2000,2000,25,2000,2000,25,2000,2000,25,2002,2002,23,2002,2002,23,2004,2004,21,2001,2001,24
16,GIS 16 mean,GIS 16 mean,backward,1996_2024,1.0334,0.1644,5217,2010_2024,2.7562,0.4497,1.7228,False,False,False,False,False,False,False,2001,2001,24,2002,2002,23,2002,2002,23,2004,2004,21,2004,2004,21,2007,2007,18,2004,2004,21
17,GIS 17 mean,GIS 17 mean,backward,1996_2024,1.3076,0.1663,5114,2010_2024,2.9811,0.4252,1.6735,False,False,False,False,False,False,False,2000,2000,25,2001,2001,24,2001,2001,24,2002,2002,23,2002,2002,23,2008,2008,17,2002,2002,23
18,GIS 18 mean,GIS 18 mean,backward,1996_2024,1.6778,0.1539,5156,2010_2024,3.371,0.4072,1.6932,False,False,False,False,False,False,False,2000,2000,25,2002,2002,23,2002,2002,23,2005,2005,20,2006,2006,19,2008,2008,17,2006,2006,19
19,GIS 19 mean,GIS 19 mean,backward,1996_2024,1.8334,0.1415,5119,2010_2024,3.3073,0.3867,1.4739,False,False,False,False,False,False,False,2001,2001,24,2003,2003,22,2005,2005,20,2005,2005,20,2006,2006,19,2007,2007,18,2005,2005,20
20,GIS 20 mean,GIS 20 mean,backward,1996_2024,1.1972,0.1498,5152,2010_2024,3.2231,0.3488,2.0259,False,False,False,False,False,False,False,2000,2000,25,2001,2001,24,2001,2001,24,2002,2002,23,2002,2002,23,2004,2004,21,2020,2002,23
21,GIS 21 mean,GIS 21 mean,backward,1996_2024,-0.043,0.1482,6096,2010_2024,1.6672,0.3545,1.7102,False,False,False,False,False,False,False,2001,2001,24,2001,2001,24,1996,1996,29,2002,2002,23,2020,2002,23,2020,2007,18,2020,2002,23
22,GIS 22 mean,GIS 22 mean,backward,1996_2024,-0.8427,0.1426,5563,2010_2024,-0.0262,0.4072,0.8165,False,False,False,False,False,True,False,2003,2003,22,2006,2006,19,2004,2004,21,2007,2007,18,2008,2008,17,2010,2010,15,2020,2008,17
23,GIS 23 mean,GIS 23 mean,backward,1996_2024,-1.8632,0.165,5752,2010_2024,-0.5824,0.4717,1.2808,False,False,False,False,False,False,False,2003,2003,22,2004,2004,21,2004,2004,21,2006,2006,19,2006,2006,19,2008,2008,17,2006,2006,19
24,GIS 24 mean,GIS 24 mean,backward,1996_2024,-2.2727,0.1928,5760,2010_2024,0.7048,0.4716,2.9775,False,False,False,False,False,False,False,2002,2002,23,2002,2002,23,2003,2003,22,2003,2003,22,2003,2003,22,2004,2004,21,2003,2003,22
25,GIS 25 mean,GIS 25 mean,backward,1996_2024,-2.4769,0.1884,5847,2010_2024,0.4424,0.4482,2.9193,False,False,False,False,False,False,False,2002,2002,23,2002,2002,23,2003,2003,22,2003,2003,22,2003,2003,22,2004,2004,21,2003,2003,22
26,GIS 26 mean,GIS 26 mean,backward,1996_2024,-1.5468,0.176,5715,2010_2024,0.2917,0.448,1.8385,False,False,False,False,False,False,False,2002,2002,23,2003,2003,22,2003,2003,22,2004,2004,21,2004,2004,21,2007,2007,18,2004,2004,21
27,GIS 27 mean,GIS 27 mean,backward,1996_2024,0.0068,0.1592,5875,2010_2024,-0.5874,0.4192,-0.5942,False,False,False,False,False,True,False,2011,1999,26,2011,2000,25,1996,1996,29,2012,2002,23,2012,2002,23,2013,2013,12,2013,2001,24
28,GIS 28 mean,GIS 28 mean,backward,1996_2024,1.9023,0.1667,5758,2010_2024,2.2305,0.4802,0.3282,False,False,True,True,True,True,True,2008,2002,23,2009,2009,16,2010,2010,15,2010,2010,15,2010,2010,15,2017,2011,14,2020,2010,15
29,GIS 29 mean,GIS 29 mean,backward,1996_2024,2.9211,0.1693,5935,2010_2024,4.6424,0.4168,1.7213,False,False,False,False,False,False,False,2003,1999,26,2004,2004,21,2006,2006,19,2005,2005,20,2005,2005,20,2006,2006,19,2020,2005,20
30,GIS 30 mean,GIS 30 mean,backward,1996_2024,3.1731,0.1504,5751,2010_2024,4.6013,0.3738,1.4282,False,False,False,False,False,False,False,2000,2000,25,2000,2000,25,2016,2003,22,2002,2002,23,2002,2002,23,2019,2004,21,2020,2002,23
31,GIS 31 mean,GIS 31 mean,backward,1996_2024,2.5948,0.1496,6480,2010_2024,2.5179,0.4112,-0.0769,True,True,True,True,True,True,True,2010,2000,25,2014,2010,15,2014,2011,14,2014,2011,14,2014,2011,14,2019,2014,11,2020,2011,14
32,GIS 32 mean,GIS 32 mean,backward,1996_2024,1.4803,0.1672,5727,2010_2024,2.2548,0.4762,0.7745,False,False,False,False,False,True,False,2008,2008,17,2008,2008,17,2008,2008,17,2008,2008,17,2008,2008,17,2020,2011,14,2020,2009,16
33,GIS 33 mean,GIS 33 mean,backward,1996_2024,1.3535,0.171,6373,2010_2024,2.5365,0.4506,1.183,False,False,False,False,False,False,False,2007,2007,18,2007,2007,18,2007,2007,18,2019,2008,17,2019,2008,17,2019,2008,17,2019,2008,17
34,GIS 34 mean,GIS 34 mean,backward,1996_2024,1.8157,0.1843,5668,2010_2024,3.8055,0.4516,1.9898,False,False,False,False,False,False,False,1996,1996,29,2019,1997,28,2019,2000,25,2019,2002,23,2019,2002,23,2019,2005,20,2019,2002,23
35,GIS 35 mean,GIS 35 mean,backward,1996_2024,0.5998,0.1897,6309,2010_2024,3.4643,0.399,2.8645,False,False,False,False,False,False,False,1997,1997,28,1998,1998,27,1996,1996,29,2002,2002,23,2001,2001,24,2003,2003,22,2019,2000,25
36,GIS 36 mean,GIS 36 mean,backward,1996_2024,0.0059,0.1851,5780,2010_2024,2.4892,0.3671,2.4833,False,False,False,False,False,False,False,1997,1997,28,2000,2000,25,1996,1996,29,2001,2001,24,2001,2001,24,2020,2002,23,2020,2000,25
37,GIS 37 mean,GIS 37 mean,backward,1996_2024,-0.1206,0.1625,6303,2010_2024,1.0202,0.3809,1.1408,False,False,False,False,False,False,False,2000,2000,25,2000,2000,25,1996,1996,29,2000,2000,25,2000,2000,25,2003,2003,22,2000,2000,25
38,GIS 38 mean,GIS 38 mean,backward,1996_2024,0.1288,0.1537,5796,2010_2024,0.9617,0.3799,0.8329,False,False,False,False,False,True,False,2007,2000,25,2007,2000,25,2000,1997,28,2008,2008,17,2008,2008,17,2010,2010,15,2020,2008,17
39,GIS 39 mean,GIS 39 mean,backward,1996_2024,0.2048,0.1458,5757,2010_2024,1.4007,0.3605,1.1959,False,False,False,False,False,False,False,2006,2000,25,2006,2006,19,1999,1999,26,2007,2007,18,2007,2007,18,2016,2009,16,2019,2007,18
40,GIS 40 mean,GIS 40 mean,backward,1996_2024,0.3341,0.1362,5856,2010_2024,0.8351,0.3543,0.501,False,False,False,False,False,True,False,2008,2002,23,2008,2008,17,2005,1998,27,2009,2009,16,2009,2009,16,2017,2017,8,2017,2009,16
41,GIS 41 mean,GIS 41 mean,backward,1996_2024,0.611,0.1466,5704,2010_2024,0.7737,0.3713,0.1627,False,True,False,True,True,True,True,2009,2003,22,2010,2004,21,2009,2001,24,2020,2004,21,2020,2011,14,2020,2015,10,2020,2004,21
42,GIS 42 mean,GIS 42 mean,backward,1996_2024,0.3926,0.1377,5806,2010_2024,0.1331,0.3657,-0.2595,False,False,False,True,True,True,True,2012,2003,22,2012,2004,21,2012,2002,23,2013,2005,20,2013,2006,19,2014,2014,11,2020,2004,21
43,GIS 43 mean,GIS 43 mean,backward,1996_2024,0.19,0.127,5668,2010_2024,0.3021,0.3358,0.1121,True,True,False,True,True,True,True,2013,1998,27,2013,2013,12,2008,1996,29,2013,2013,12,2013,2013,12,2014,2014,11,2020,2014,11
44,GIS 44 mean,GIS 44 mean,backward,1996_2024,0.061,0.1284,5759,2010_2024,0.0698,0.3177,0.0088,True,True,True,True,True,True,True,2015,1997,28,2020,1999,26,2010,1996,29,2020,2001,24,2020,2017,8,2020,2018,7,2020,1999,26
45,GIS 45 mean,GIS 45 mean,backward,1996_2024,-0.5038,0.1323,5671,2010_2024,-0.1092,0.3326,0.3946,False,False,False,True,True,True,True,2008,1999,26,2009,2000,25,2008,1998,27,2019,2012,13,2019,2013,12,2019,2019,6,2019,2001,24
46,GIS 46 mean,GIS 46 mean,backward,1996_2024,-1.0936,0.1321,5878,2010_2024,-0.9944,0.3408,0.0992,True,True,True,True,True,True,True,2020,2004,21,2020,2010,15,2020,2010,15,2020,2013,12,2020,2013,12,2020,2014,11,2020,2013,12
47,GIS 47 mean,GIS 47 mean,backward,1996_2024,-1.0282,0.1297,5820,2010_2024,-0.0366,0.3123,0.9916,False,False,False,False,False,True,False,2000,2000,25,2004,2004,21,2002,2002,23,2006,2006,19,2007,2007,18,2020,2010,15,2020,2004,21
48,GIS 48 mean,GIS 48 mean,backward,1996_2024,-0.4008,0.1309,5948,2010_2024,0.0904,0.3141,0.4912,False,False,False,False,True,True,False,2014,2008,17,2016,2008,17,2014,2001,24,2017,2009,16,2017,2010,15,2017,2017,8,2020,2009,16
49,GIS 49 mean,GIS 49 mean,backward,1996_2024,-0.2926,0.1352,5838,2010_2024,-0.7505,0.3012,-0.4579,False,False,False,False,True,True,False,2020,1999,26,2020,2000,25,1996,1996,29,2020,2001,24,2020,2002,23,2020,2017,8,2020,2000,25
50,GIS 50 mean,GIS 50 mean,backward,1996_2024,-0.5914,0.1354,5880,2010_2024,-1.3552,0.3298,-0.7638,False,False,False,False,False,True,False,2001,2001,24,2017,2002,23,2001,2001,24,2017,2004,21,2017,2005,20,2017,2010,15,2020,2002,23
51,GIS 51 mean,GIS 51 mean,backward,1996_2024,-0.663,0.1406,5886,2010_2024,-1.3104,0.3398,-0.6474,False,False,False,False,False,True,False,2016,2003,22,2019,2004,21,2016,2003,22,2020,2009,16,2020,2009,16,2020,2020,5,2020,2005,20
52,GIS 52 mean,GIS 52 mean,backward,1996_2024,-0.896,0.1443,5891,2010_2024,-1.8078,0.349,-0.9118,False,False,False,False,False,True,False,2018,2001,24,2018,2001,24,2018,2001,24,2018,2003,22,2018,2003,22,2019,2019,6,2019,2002,23
