domain,rows,cols,nodata_before,nodata_after,filled,cand_2008_coverage,dropped_connectivity,dropped_elev_floor,cand_below_mhw,bias_applied_m,bias_ring_m,bias_ring_cells,bias_overlap_m,bias_overlap_cells,seam_n,ctrl_n,seam_median_signed_m,seam_median_abs_m,seam_p90_abs_m,ctrl_median_abs_m,ctrl_p90_abs_m,seam_over_ctrl,fill_cells_in_window,snap_x_m,snap_y_m,trim_x_m,trim_y_m
54,500,2000,774612,485142,289470,425018,22,0,289470,0.0,0.4948,17168,-0.0369,410064,2061,1640168,-0.6414,0.6414,0.8928,0.0316,0.1331,20.303,835082,0.1209,0.2766,0.0,0.0
55,500,2000,728948,626177,102771,283067,33253,0,102771,0.0,0.3975,17252,-0.0273,473875,2142,1896414,-0.5332,0.5332,0.955,0.0314,0.1325,16.997,756942,0.0542,0.2554,0.0,0.0
56,500,2000,780187,627691,152496,248213,35852,0,152496,0.0,0.3718,12877,-0.0621,411830,1642,1666728,-0.4724,0.4724,0.8747,0.0334,0.1431,14.142,660043,0.0,0.3403,0.0,0.0
57,500,2000,760963,695358,65605,182304,17586,0,65605,0.0,0.4717,8905,-0.0702,418123,1092,1719218,-0.6029,0.6029,0.8793,0.0307,0.1329,19.616,600427,0.0,0.0,0.0,0.0
58,500,2000,702384,637736,64648,112071,3732,0,64648,0.0,0.4911,11079,-0.0589,513353,1317,2087968,-0.7094,0.7655,1.0788,0.0276,0.1187,27.724,625424,0.0,0.0864,0.0,0.0
59,500,2000,689438,616303,73135,155431,3312,0,65076,0.0,0.0929,19570,-0.0588,562127,2003,2258998,-0.3768,0.6172,1.1559,0.027,0.1147,22.87,717558,0.0,0.1169,0.0,0.0
60,500,2000,667180,494552,172628,294980,0,0,111157,0.0,0.2621,16258,-0.0565,600251,1859,2398760,-0.3121,0.3144,0.8649,0.0274,0.121,11.472,895231,0.3259,0.4243,0.0,0.0
61,500,2000,649921,402519,247402,461828,0,0,62061,0.0,0.2766,14507,-0.0604,619914,1660,2500632,-0.2901,0.2918,0.5885,0.0285,0.1346,10.234,1081742,0.2904,0.0154,0.0,0.0
62,500,2000,635080,292637,342443,564155,0,0,209195,0.0,0.2795,13174,-0.056,651727,1485,2638486,-0.2483,0.253,0.7075,0.0297,0.1381,8.504,1215882,0.2454,0.043,0.0,0.0
63,500,2000,622406,311294,311112,568533,0,0,219718,0.0,0.3745,14824,-0.0513,676396,1698,2716560,-0.3652,0.3684,0.7556,0.0298,0.1296,12.365,1244929,0.2437,0.397,0.0,0.0
64,500,2000,619087,296946,322141,593857,0,0,108035,0.0,0.4583,17527,-0.0653,683304,2067,2731560,-0.4263,0.4271,0.6987,0.0272,0.1203,15.693,1277161,0.0338,0.4458,0.0,0.0
65,500,2000,618888,275292,343596,599154,1622,0,137512,0.0,0.4323,17432,-0.0727,686763,2086,2744602,-0.2871,0.29,0.6869,0.0266,0.1194,10.891,1285917,0.2125,0.4748,0.0,0.0
66,500,2000,609384,324209,285175,540852,4504,0,198552,0.0,0.367,17794,-0.0719,707224,2144,2826000,-0.2316,0.2361,0.5471,0.0252,0.1089,9.367,1248076,0.2345,0.2268,0.0,0.0
67,500,2000,590211,337482,252729,442402,15032,0,248967,0.0,0.3127,18047,-0.0692,728040,2327,2908798,-0.3057,0.3073,0.5985,0.0229,0.0999,13.425,1170442,0.1885,0.4416,0.0,0.0
68,500,2000,572553,438756,133797,264486,13127,0,120818,0.0,0.2662,16904,-0.0614,768084,2144,3081398,-0.339,0.3422,0.7776,0.0234,0.0998,14.621,1032570,0.0,0.4412,0.0,0.0
69,500,2000,551378,447734,103644,264504,37906,0,73507,0.0,0.237,24543,-0.0544,795887,2187,3199286,-0.6456,0.6456,1.1493,0.0227,0.1002,28.423,1060391,0.0,0.0878,0.0,0.0
70,500,2000,580488,293237,287251,446376,11205,0,287209,0.0,0.559,25820,-0.0511,771730,2444,3091796,-0.6664,0.6664,1.1322,0.0221,0.0948,30.198,1218106,0.1165,0.4124,0.0,0.0
71,500,2000,554721,356804,197917,394922,11205,0,194449,0.0,0.6987,18253,-0.0509,785709,2172,3145414,-0.6134,0.6134,0.7868,0.0221,0.0913,27.708,1180631,0.2014,0.4874,0.0,0.0
72,500,2000,554945,432839,122106,265049,169,0,95362,0.0,0.1561,17996,-0.0601,799404,2058,3194108,-0.1725,0.4748,1.0595,0.0225,0.094,21.115,1064453,0.3469,0.0736,0.0,0.0
73,500,2000,577325,349152,228173,348371,146,0,133009,0.0,0.0189,22501,-0.0661,760583,2713,3044600,-0.1503,0.9557,2.039,0.0236,0.1047,40.49,1108954,0.3469,0.3438,0.0,0.0
