domain_number,n_transects,ref_lrr_median_m_yr,diff_marked_median_m_yr,diff_marked_q25_m_yr,diff_marked_q75_m_yr,marked_in_ci_frac,years_needed_ci_median,years_needed_ci_q25,years_needed_ci_q75,stable_entry_ci_median,marked_in_abs_frac,years_needed_abs_median,years_needed_abs_q25,years_needed_abs_q75,stable_entry_abs_median,marked_in_rel_frac,years_needed_rel_median,years_needed_rel_q25,years_needed_rel_q75,stable_entry_rel_median,marked_in_ci3x_frac,years_needed_ci3x_median,years_needed_ci3x_q25,years_needed_ci3x_q75,stable_entry_ci3x_median,marked_in_abs50_frac,years_needed_abs50_median,years_needed_abs50_q25,years_needed_abs50_q75,stable_entry_abs50_median,marked_in_abs100_frac,years_needed_abs100_median,years_needed_abs100_q25,years_needed_abs100_q75,stable_entry_abs100_median,marked_in_overlap_frac,years_needed_overlap_median,years_needed_overlap_q25,years_needed_overlap_q75,stable_entry_overlap_median
42,10,0.1228,1.1933,1.0876,1.2782,0.0,24.0,24.0,24.0,2019.0,0.0,24.0,24.0,24.0,2019.0,0.0,25.0,25.0,25.0,2020.0,0.0,22.0,22.0,22.0,2017.0,0.0,22.0,22.0,22.0,2017.0,0.2,20.0,19.0,21.0,2015.0,0.0,23.0,22.0,23.0,2018.0
43,10,0.0187,0.7962,0.6888,0.8732,0.0,23.0,22.25,24.0,2018.0,0.0,22.0,22.0,22.0,2017.0,0.0,25.0,24.25,25.0,2020.0,0.0,21.0,21.0,21.0,2016.0,0.0,21.0,21.0,21.0,2016.0,0.8,15.0,15.0,15.0,2010.0,0.0,21.0,21.0,21.0,2016.0
44,10,0.0765,1.054,0.9822,1.0916,0.0,22.0,21.0,22.0,2017.0,0.0,21.0,21.0,22.0,2016.0,0.0,25.0,25.0,25.0,2020.0,0.0,19.0,18.0,20.0,2014.0,0.0,19.0,18.0,21.0,2014.0,0.3,16.0,15.25,16.0,2011.0,0.0,19.0,18.0,21.0,2014.0
45,10,-0.7922,1.1888,1.1349,1.2406,0.0,22.0,22.0,22.0,2017.0,0.0,22.0,21.0,22.0,2017.0,0.0,22.0,22.0,23.75,2017.0,0.0,20.0,19.0,20.0,2015.0,0.0,20.0,19.0,20.75,2015.0,0.0,16.0,16.0,16.0,2011.0,0.0,20.5,19.25,21.0,2015.5
46,10,-1.4444,0.3279,0.1279,0.5556,0.3,22.5,22.0,23.0,2017.5,0.4,22.0,22.0,22.0,2017.0,0.5,22.0,22.0,22.0,2017.0,0.7,21.0,13.0,21.0,2016.0,0.7,21.0,13.0,21.0,2016.0,0.8,10.0,7.25,11.0,2005.0,0.8,22.0,9.0,22.0,2017.0
47,10,-1.443,0.0078,-0.0719,0.0702,0.9,22.0,21.0,22.0,2017.0,1.0,19.0,18.0,20.75,2014.0,1.0,18.5,18.0,20.0,2013.5,1.0,9.0,9.0,9.0,2004.0,1.0,9.0,9.0,15.25,2004.0,1.0,8.5,7.25,9.0,2003.5,1.0,5.0,5.0,7.75,2000.0
48,10,-0.4204,0.2405,-0.0374,0.8874,0.5,21.5,19.25,23.0,2016.5,0.5,20.0,19.0,21.5,2015.0,0.4,25.0,21.5,25.0,2020.0,0.6,16.5,15.25,17.75,2011.5,0.6,17.0,16.0,18.0,2012.0,0.8,9.0,7.0,15.0,2004.0,0.7,16.5,15.0,18.0,2011.5
49,10,-0.1678,1.7081,1.6002,1.7472,0.0,24.0,24.0,24.0,2019.0,0.0,24.0,24.0,24.0,2019.0,0.0,25.0,25.0,25.0,2020.0,0.0,21.5,21.0,22.0,2016.5,0.0,23.0,22.25,23.0,2018.0,0.0,18.0,18.0,18.75,2013.0,0.0,23.0,23.0,23.0,2018.0
50,10,-0.466,0.303,0.1091,0.8582,0.3,24.0,24.0,24.0,2019.0,0.5,24.0,23.25,24.0,2019.0,0.2,25.0,24.25,25.0,2020.0,0.6,19.5,13.5,22.0,2014.5,0.6,21.5,13.5,23.0,2016.5,0.8,11.0,8.5,19.5,2006.0,0.6,22.0,12.75,23.0,2017.0
51,10,-0.5993,-0.0492,-0.1949,0.1919,0.4,21.0,20.25,21.75,2016.0,0.7,21.0,20.0,21.0,2016.0,0.3,22.5,21.25,23.0,2017.5,1.0,12.0,12.0,19.0,2007.0,1.0,17.0,12.0,19.0,2012.0,1.0,11.0,11.0,11.0,2006.0,1.0,15.0,11.0,19.0,2010.0
52,10,-0.7897,1.1812,1.0562,1.3814,0.0,22.0,22.0,22.0,2017.0,0.0,22.0,22.0,22.0,2017.0,0.0,23.0,22.25,23.0,2018.0,0.0,21.0,21.0,21.0,2016.0,0.0,21.0,21.0,21.0,2016.0,0.2,18.0,18.0,19.0,2013.0,0.0,21.0,21.0,21.0,2016.0
53,10,-1.0282,0.505,0.4186,0.5384,0.0,22.0,22.0,22.0,2017.0,0.0,21.0,21.0,22.0,2016.0,0.0,22.0,21.25,22.0,2017.0,0.8,20.0,13.75,20.0,2015.0,0.5,20.0,20.0,20.0,2015.0,1.0,8.0,8.0,8.0,2003.0,0.9,20.0,20.0,20.0,2015.0
54,10,-0.9341,1.1506,1.0378,1.2727,0.0,24.0,24.0,24.75,2019.0,0.0,24.0,23.25,24.0,2019.0,0.0,24.0,24.0,24.75,2019.0,0.0,22.0,22.0,22.0,2017.0,0.0,22.0,22.0,22.75,2017.0,0.1,20.0,18.5,20.0,2015.0,0.0,22.0,22.0,23.0,2017.0
55,10,-0.3854,0.7954,0.7425,0.8736,0.0,24.0,24.0,24.0,2019.0,0.0,24.0,23.25,24.0,2019.0,0.0,25.0,25.0,25.0,2020.0,0.0,22.0,20.25,22.0,2017.0,0.0,22.0,21.25,23.0,2017.0,1.0,13.0,11.0,14.5,2008.0,0.0,23.0,22.0,23.0,2018.0
56,11,-0.2111,0.6721,0.3228,0.8128,0.0909,23.0,23.0,23.0,2018.0,0.1818,22.0,22.0,23.0,2017.0,0.0909,25.0,25.0,25.0,2020.0,0.4545,21.0,20.0,21.0,2016.0,0.3636,21.0,20.0,21.0,2016.0,0.9091,14.0,12.0,15.0,2009.0,0.4545,22.0,21.0,22.0,2017.0
57,10,-0.2533,0.1024,-0.0358,0.1334,0.9,23.0,23.0,23.0,2018.0,1.0,22.0,21.0,22.0,2017.0,0.0,24.5,24.0,25.0,2019.5,1.0,10.5,10.0,11.0,2005.5,1.0,10.5,10.0,11.75,2005.5,1.0,7.0,6.25,7.0,2002.0,1.0,5.5,5.0,6.0,2000.5
58,10,-0.0194,0.2429,0.1523,0.3664,0.4,24.0,23.25,24.0,2019.0,0.6,22.0,22.0,22.0,2017.0,0.1,25.0,25.0,25.0,2020.0,1.0,9.5,7.25,12.5,2004.5,1.0,12.0,9.5,14.5,2007.0,1.0,5.5,5.0,6.75,2000.5,1.0,5.0,5.0,7.25,2000.0
59,10,-0.1346,0.42,0.3864,0.5134,0.0,22.0,22.0,23.0,2017.0,0.0,22.0,22.0,22.0,2017.0,0.0,24.0,23.0,25.0,2019.0,0.8,21.0,21.0,21.0,2016.0,0.7,21.0,21.0,21.0,2016.0,1.0,10.0,10.0,10.0,2005.0,0.8,21.0,21.0,21.75,2016.0
60,10,-0.9042,0.6409,0.4442,0.6972,0.0,23.0,22.25,23.0,2018.0,0.0,22.0,22.0,22.0,2017.0,0.0,23.0,22.0,23.0,2018.0,0.4,21.0,20.25,21.0,2016.0,0.3,21.0,21.0,21.0,2016.0,1.0,13.0,13.0,15.0,2008.0,0.4,21.0,21.0,21.0,2016.0
61,10,-1.4884,0.6724,0.5038,0.9747,0.0,22.0,22.0,22.0,2017.0,0.0,21.0,21.0,21.0,2016.0,0.0,21.0,21.0,21.0,2016.0,0.3,20.0,20.0,20.0,2015.0,0.3,20.0,20.0,20.75,2015.0,0.8,15.0,14.25,15.0,2010.0,0.3,20.0,20.0,21.0,2015.0
62,10,-1.8402,1.62,1.063,1.7997,0.0,22.5,22.0,23.0,2017.5,0.0,21.0,21.0,21.75,2016.0,0.0,21.0,20.0,21.0,2016.0,0.0,20.0,17.0,20.0,2015.0,0.0,20.0,19.25,20.0,2015.0,0.3,18.0,15.25,18.0,2013.0,0.1,20.5,19.25,21.0,2015.5
63,10,-1.7122,-0.2762,-0.6826,0.1551,0.1,24.0,22.0,24.0,2019.0,0.3,22.0,22.0,23.5,2017.0,0.5,22.0,16.75,22.0,2017.0,0.6,18.0,15.0,21.0,2013.0,0.6,20.0,15.0,21.75,2015.0,0.9,13.0,12.25,13.0,2008.0,0.6,21.0,15.0,21.75,2016.0
64,10,-1.0518,-1.0019,-1.0348,-0.9583,0.0,24.0,24.0,24.0,2019.0,0.0,24.0,22.25,24.0,2019.0,0.0,24.0,24.0,24.0,2019.0,0.0,21.0,20.0,21.75,2016.0,0.0,21.0,21.0,22.0,2016.0,0.5,18.0,18.0,18.75,2013.0,0.0,22.0,21.0,22.0,2017.0
65,10,-0.7501,-1.7212,-1.9274,-1.4282,0.0,23.0,22.0,24.0,2018.0,0.0,22.5,22.0,23.0,2017.5,0.0,23.5,22.0,24.0,2018.5,0.0,20.5,20.0,21.0,2015.5,0.0,21.0,20.25,21.0,2016.0,0.1,18.5,18.0,19.0,2013.5,0.0,21.0,21.0,21.75,2016.0
66,11,1.0712,-2.0506,-2.0981,-1.9774,0.0,23.0,23.0,24.0,2018.0,0.0,23.0,23.0,23.0,2018.0,0.0,24.0,23.0,25.0,2019.0,0.0,21.0,21.0,21.0,2016.0,0.0,21.0,21.0,21.0,2016.0,0.0,19.0,19.0,19.5,2014.0,0.0,21.0,21.0,21.0,2016.0
67,10,2.2386,-0.0697,-0.7568,0.7044,0.2,22.0,20.25,22.0,2017.0,0.2,21.0,20.0,22.0,2016.0,0.3,19.0,16.25,20.75,2014.0,0.4,18.0,15.25,19.75,2013.0,0.4,18.5,15.25,20.0,2013.5,0.6,13.5,12.0,17.5,2008.5,0.4,18.5,14.5,20.0,2013.5
68,10,2.3041,2.8296,2.7382,3.0418,0.0,23.0,23.0,23.0,2018.0,0.0,23.0,23.0,23.0,2018.0,0.0,22.0,22.0,22.75,2017.0,0.0,22.0,21.0,22.0,2017.0,0.0,22.0,22.0,22.0,2017.0,0.0,21.0,21.0,21.0,2016.0,0.0,22.0,22.0,22.0,2017.0
69,10,1.163,2.5446,2.1146,2.9972,0.0,23.0,23.0,23.0,2018.0,0.0,23.0,22.25,23.0,2018.0,0.0,23.0,23.0,23.0,2018.0,0.0,22.0,21.25,22.0,2017.0,0.0,22.0,22.0,22.0,2017.0,0.0,21.0,19.25,21.0,2016.0,0.0,22.0,22.0,22.0,2017.0
