domain_number,n_transects,ref_lrr_median_m_yr,diff_marked_median_m_yr,diff_marked_q25_m_yr,diff_marked_q75_m_yr,marked_in_ci_frac,years_needed_ci_median,years_needed_ci_q25,years_needed_ci_q75,stable_entry_ci_median,marked_in_abs_frac,years_needed_abs_median,years_needed_abs_q25,years_needed_abs_q75,stable_entry_abs_median,marked_in_rel_frac,years_needed_rel_median,years_needed_rel_q25,years_needed_rel_q75,stable_entry_rel_median,marked_in_ci3x_frac,years_needed_ci3x_median,years_needed_ci3x_q25,years_needed_ci3x_q75,stable_entry_ci3x_median,marked_in_abs50_frac,years_needed_abs50_median,years_needed_abs50_q25,years_needed_abs50_q75,stable_entry_abs50_median,marked_in_abs100_frac,years_needed_abs100_median,years_needed_abs100_q25,years_needed_abs100_q75,stable_entry_abs100_median,marked_in_overlap_frac,years_needed_overlap_median,years_needed_overlap_q25,years_needed_overlap_q75,stable_entry_overlap_median
76,10,-2.2659,2.8701,2.5595,3.2607,0.0,23.5,21.0,25.0,1997.5,0.0,23.5,20.0,25.0,1997.5,0.0,20.0,17.25,22.75,2001.0,0.0,16.0,15.0,20.75,2005.0,0.0,20.0,15.75,22.0,2001.0,0.0,15.0,14.25,17.75,2006.0,0.0,18.0,15.0,22.0,2003.0
77,10,-1.4188,1.2324,0.4949,1.8324,0.0,25.0,25.0,25.0,1996.0,0.0,25.0,25.0,25.0,1996.0,0.0,25.0,24.0,25.0,1996.0,0.4,20.0,18.25,21.0,2001.0,0.3,22.0,21.25,23.0,1999.0,0.4,18.0,12.0,18.75,2003.0,0.4,22.5,22.0,23.0,1998.5
78,10,-1.4316,-0.8646,-1.755,-0.3129,0.2,25.0,24.0,25.0,1996.0,0.2,24.5,24.0,25.0,1996.5,0.1,24.0,23.0,25.0,1997.0,0.5,16.0,15.0,16.0,2005.0,0.4,18.0,17.25,22.0,2003.0,0.5,13.5,11.25,14.0,2007.5,0.5,16.5,15.0,20.75,2004.5
79,10,-1.9234,0.0039,-1.2676,1.2866,0.2,22.5,17.5,24.0,1998.5,0.2,18.5,16.0,22.0,2002.5,0.2,16.0,14.5,16.0,2005.0,0.2,15.5,14.0,16.0,2005.5,0.2,16.0,14.25,16.0,2005.0,0.4,14.0,11.5,14.75,2007.0,0.3,15.5,14.0,16.0,2005.5
80,10,-3.2954,3.824,2.6384,5.1394,0.0,21.0,20.25,21.75,2000.0,0.0,21.0,20.0,21.75,2000.0,0.0,19.0,16.25,20.0,2002.0,0.0,19.0,16.25,20.0,2002.0,0.0,19.5,16.5,21.0,2001.5,0.0,18.5,15.5,19.75,2002.5,0.0,19.5,16.25,21.0,2001.5
81,10,-2.3244,3.212,1.4615,4.5936,0.0,23.0,22.25,23.75,1998.0,0.0,22.0,22.0,23.0,1999.0,0.0,21.0,21.0,21.75,2000.0,0.0,21.0,21.0,21.0,2000.0,0.0,21.0,21.0,21.0,2000.0,0.1,19.5,19.0,20.0,2001.5,0.0,21.0,21.0,22.0,2000.0
82,10,-1.2712,0.1122,-0.1332,0.4587,0.3,22.5,22.0,23.0,1998.5,0.4,22.0,21.25,22.0,1999.0,0.4,22.0,21.0,22.0,1999.0,0.8,19.5,15.5,21.0,2001.5,0.8,19.5,15.5,21.0,2001.5,1.0,9.5,7.25,15.75,2011.5,0.8,21.5,16.0,22.0,1999.5
83,10,-2.3136,1.5882,1.3225,1.9477,0.0,21.5,21.0,22.0,1999.5,0.0,21.0,20.0,22.0,2000.0,0.0,16.5,15.25,19.5,2004.5,0.0,14.5,14.0,15.75,2006.5,0.0,14.5,14.0,16.75,2006.5,0.0,13.0,13.0,14.0,2008.0,0.0,15.5,14.25,19.25,2005.5
84,11,-1.7312,2.4435,2.3405,2.795,0.0,23.0,23.0,23.0,1998.0,0.0,23.0,22.0,23.0,1998.0,0.0,22.0,18.0,23.0,1999.0,0.0,18.0,17.0,20.0,2003.0,0.0,21.0,18.0,21.5,2000.0,0.0,17.0,16.0,17.0,2004.0,0.0,21.0,17.5,22.0,2000.0
85,12,-1.4238,1.1832,0.8102,1.6549,0.0,21.0,20.75,21.25,2000.0,0.0,20.0,20.0,21.25,2001.0,0.0,20.0,19.75,21.0,2001.0,0.0833,19.0,19.0,19.0,2002.0,0.0833,19.0,19.0,19.0,2002.0,0.3333,17.5,17.0,18.0,2003.5,0.25,19.0,19.0,19.25,2002.0
86,12,-0.8352,1.2149,0.6716,1.3651,0.0,24.0,23.0,24.0,1997.0,0.0,23.0,21.0,24.0,1998.0,0.0,24.0,23.0,25.0,1997.0,0.0833,20.0,19.0,21.0,2001.0,0.0833,21.0,19.75,21.0,2000.0,0.3333,18.0,7.75,19.0,2003.0,0.3333,21.0,20.0,21.0,2000.0
87,11,-0.4371,0.5407,0.2958,0.7701,0.1818,24.0,24.0,24.0,1997.0,0.1818,23.0,23.0,23.0,1998.0,0.0,25.0,25.0,25.0,1996.0,0.6364,21.0,21.0,21.0,2000.0,0.3636,21.0,21.0,21.0,2000.0,0.8182,19.0,19.0,19.0,2002.0,0.7273,22.0,22.0,22.0,1999.0
88,10,0.2862,-0.0849,-0.1484,0.0168,0.6,24.0,24.0,24.0,1997.0,0.7,23.0,23.0,23.0,1998.0,0.3,25.0,25.0,25.0,1996.0,1.0,21.0,21.0,21.0,2000.0,1.0,21.0,21.0,21.0,2000.0,1.0,18.0,18.0,18.0,2003.0,1.0,22.0,21.0,22.0,1999.0
89,9,0.8701,0.4953,0.4096,0.6082,0.0,23.0,22.0,23.0,1998.0,0.0,22.0,21.0,22.0,1999.0,0.0,23.0,22.0,23.0,1998.0,0.4444,20.0,19.0,20.0,2001.0,0.5556,19.0,19.0,20.0,2002.0,1.0,9.0,6.0,14.0,2012.0,0.7778,21.0,21.0,21.0,2000.0
90,10,0.8532,0.1885,-0.1579,0.4096,0.2,20.5,18.5,21.0,2000.5,0.3,19.0,18.25,20.0,2002.0,0.2,21.0,21.0,21.0,2000.0,0.8,17.0,16.25,17.0,2004.0,0.8,17.0,17.0,18.0,2004.0,1.0,11.0,10.0,14.0,2010.0,1.0,17.0,17.0,18.0,2004.0
