transect_id,domain_number,distance_m,match_method,northing_m
usa_NC_0037_0146,104,0.0,polygon_join,3950839.072
usa_NC_0037_0147,104,0.0,polygon_join,3950886.345
usa_NC_0037_0148,104,0.0,polygon_join,3950934.481
usa_NC_0037_0149,104,0.0,polygon_join,3950983.02
usa_NC_0037_0150,104,0.0,polygon_join,3951029.964
usa_NC_0037_0151,105,0.0,polygon_join,3951076.278
usa_NC_0037_0152,105,0.0,polygon_join,3951123.287
usa_NC_0037_0153,105,0.0,polygon_join,3951167.41
usa_NC_0037_0154,105,0.0,polygon_join,3951221.097
usa_NC_0037_0155,105,0.0,polygon_join,3951269.075
usa_NC_0037_0156,105,0.0,polygon_join,3951316.848
usa_NC_0037_0157,105,0.0,polygon_join,3951364.96
usa_NC_0037_0158,105,0.0,polygon_join,3951413.084
usa_NC_0037_0159,105,0.0,polygon_join,3951460.168
usa_NC_0037_0160,105,0.0,polygon_join,3951507.264
usa_NC_0037_0161,106,0.0,polygon_join,3951553.883
usa_NC_0037_0162,106,0.0,polygon_join,3951601.38
usa_NC_0037_0163,106,0.0,polygon_join,3951650.679
usa_NC_0037_0164,106,0.0,polygon_join,3951699.239
usa_NC_0037_0165,106,0.0,polygon_join,3951747.238
usa_NC_0037_0166,106,0.0,polygon_join,3951793.333
usa_NC_0037_0167,106,0.0,polygon_join,3951839.917
usa_NC_0037_0168,106,0.0,polygon_join,3951882.984
usa_NC_0037_0169,106,0.0,polygon_join,3951932.594
usa_NC_0037_0170,106,0.0,polygon_join,3951983.404
usa_NC_0037_0171,106,0.0,polygon_join,3952030.824
usa_NC_0037_0172,107,0.0,polygon_join,3952077.904
usa_NC_0037_0173,107,0.0,polygon_join,3952126.223
usa_NC_0037_0174,107,0.0,polygon_join,3952174.179
usa_NC_0037_0175,107,0.0,polygon_join,3952220.087
usa_NC_0037_0176,107,0.0,polygon_join,3952266.7
usa_NC_0037_0177,107,0.0,polygon_join,3952314.025
usa_NC_0037_0178,107,0.0,polygon_join,3952362.517
usa_NC_0038_0001,107,0.0,polygon_join,3952410.5
usa_NC_0038_0002,107,0.0,polygon_join,3952450.461
usa_NC_0038_0003,107,0.0,polygon_join,3952504.167
usa_NC_0038_0005,108,0.0,polygon_join,3952598.849
usa_NC_0038_0006,108,0.0,polygon_join,3952640.056
usa_NC_0038_0007,108,0.0,polygon_join,3952687.655
usa_NC_0038_0008,108,0.0,polygon_join,3952734.486
usa_NC_0038_0009,108,0.0,polygon_join,3952776.275
usa_NC_0038_0010,108,0.0,polygon_join,3952820.307
usa_NC_0038_0011,108,0.0,polygon_join,3952866.278
usa_NC_0038_0012,108,0.0,polygon_join,3952912.45
usa_NC_0038_0013,108,0.0,polygon_join,3952958.993
usa_NC_0038_0014,108,0.0,polygon_join,3953005.62
usa_NC_0038_0015,108,0.0,polygon_join,3953051.567
usa_NC_0038_0016,109,0.0,polygon_join,3953097.237
usa_NC_0038_0017,109,0.0,polygon_join,3953142.888
usa_NC_0038_0018,109,0.0,polygon_join,3953188.521
usa_NC_0038_0019,109,0.0,polygon_join,3953234.135
usa_NC_0038_0020,109,0.0,polygon_join,3953279.73
usa_NC_0038_0021,109,0.0,polygon_join,3953325.307
usa_NC_0038_0022,109,0.0,polygon_join,3953370.65
usa_NC_0038_0023,109,0.0,polygon_join,3953415.938
usa_NC_0038_0024,109,0.0,polygon_join,3953461.208
usa_NC_0038_0025,109,0.0,polygon_join,3953506.497
usa_NC_0038_0026,109,0.0,polygon_join,3953551.763
usa_NC_0038_0027,110,0.0,polygon_join,3953597.327
usa_NC_0038_0028,110,0.0,polygon_join,3953643.466
usa_NC_0038_0029,110,0.0,polygon_join,3953689.569
usa_NC_0038_0030,110,0.0,polygon_join,3953735.827
usa_NC_0038_0031,110,0.0,polygon_join,3953782.467
usa_NC_0038_0032,110,0.0,polygon_join,3953829.124
usa_NC_0038_0033,110,0.0,polygon_join,3953875.84
usa_NC_0038_0034,110,0.0,polygon_join,3953922.467
usa_NC_0038_0035,110,0.0,polygon_join,3953969.146
usa_NC_0038_0036,110,0.0,polygon_join,3954015.722
usa_NC_0038_0037,111,0.0,polygon_join,3954062.617
usa_NC_0038_0038,111,0.0,polygon_join,3954109.571
usa_NC_0038_0039,111,0.0,polygon_join,3954156.077
usa_NC_0038_0040,111,0.0,polygon_join,3954202.59
usa_NC_0038_0041,111,0.0,polygon_join,3954249.174
usa_NC_0038_0042,111,0.0,polygon_join,3954295.816
usa_NC_0038_0043,111,0.0,polygon_join,3954341.925
usa_NC_0038_0044,111,0.0,polygon_join,3954388.034
usa_NC_0038_0045,111,0.0,polygon_join,3954434.166
usa_NC_0038_0046,111,0.0,polygon_join,3954480.587
usa_NC_0038_0047,111,0.0,polygon_join,3954527.011
usa_NC_0038_0048,112,0.0,polygon_join,3954573.436
usa_NC_0038_0049,112,0.0,polygon_join,3954619.863
usa_NC_0038_0050,112,0.0,polygon_join,3954664.402
usa_NC_0038_0051,112,0.0,polygon_join,3954708.971
usa_NC_0038_0052,112,0.0,polygon_join,3954753.549
usa_NC_0038_0053,112,0.0,polygon_join,3954798.136
usa_NC_0038_0054,112,0.0,polygon_join,3954842.732
usa_NC_0038_0055,112,0.0,polygon_join,3954887.337
usa_NC_0038_0056,112,0.0,polygon_join,3954931.914
usa_NC_0038_0057,112,0.0,polygon_join,3954976.468
usa_NC_0038_0058,112,0.0,polygon_join,3955021.437
usa_NC_0038_0059,113,0.0,polygon_join,3955066.547
usa_NC_0038_0060,113,0.0,polygon_join,3955111.664
usa_NC_0038_0061,113,0.0,polygon_join,3955156.794
usa_NC_0038_0062,113,0.0,polygon_join,3955201.943
usa_NC_0038_0063,113,0.0,polygon_join,3955247.567
usa_NC_0038_0064,113,0.0,polygon_join,3955291.907
usa_NC_0038_0065,113,0.0,polygon_join,3955336.595
usa_NC_0038_0066,113,0.0,polygon_join,3955381.676
usa_NC_0038_0067,113,0.0,polygon_join,3955430.538
usa_NC_0038_0068,113,0.0,polygon_join,3955485.666
usa_NC_0038_0069,113,0.0,polygon_join,3955537.143
usa_NC_0038_0070,114,0.0,polygon_join,3955581.676
usa_NC_0038_0071,114,0.0,polygon_join,3955627.209
usa_NC_0038_0072,114,0.0,polygon_join,3955670.057
usa_NC_0038_0073,114,0.0,polygon_join,3955712.674
usa_NC_0038_0074,114,0.0,polygon_join,3955742.653
usa_NC_0038_0075,114,0.0,polygon_join,3955787.906
usa_NC_0038_0076,114,0.0,polygon_join,3955832.83
usa_NC_0038_0077,114,0.0,polygon_join,3955877.763
usa_NC_0038_0078,114,0.0,polygon_join,3955922.706
usa_NC_0038_0079,114,0.0,polygon_join,3955967.658
usa_NC_0038_0080,114,0.0,polygon_join,3956012.619
usa_NC_0038_0082,115,0.0,polygon_join,3956102.645
usa_NC_0038_0083,115,0.0,polygon_join,3956147.73
usa_NC_0038_0084,115,0.0,polygon_join,3956192.519
usa_NC_0038_0085,115,0.0,polygon_join,3956236.659
usa_NC_0038_0086,115,0.0,polygon_join,3956280.792
usa_NC_0038_0087,115,0.0,polygon_join,3956324.758
usa_NC_0038_0088,115,0.0,polygon_join,3956368.7
usa_NC_0038_0089,115,0.0,polygon_join,3956412.659
usa_NC_0038_0090,115,0.0,polygon_join,3956456.637
usa_NC_0038_0091,115,0.0,polygon_join,3956500.631
usa_NC_0038_0092,115,0.0,polygon_join,3956544.79
usa_NC_0038_0093,116,0.0,polygon_join,3956589.097
usa_NC_0038_0094,116,0.0,polygon_join,3956633.407
usa_NC_0038_0095,116,0.0,polygon_join,3956677.719
usa_NC_0038_0096,116,0.0,polygon_join,3956721.622
