transect_id,domain_number,line_id,position_1997_m,position_2009_m,change_m,rate_m_yr,start_vintage,end_vintage,start_date,end_date,start_date_assumed,end_date_assumed,interval_yr
dune_214,41,214,4283.302,4295.275,-11.973,-1.0295,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_215,41,215,4282.874,4290.093,-7.219,-0.6207,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_216,41,216,4265.247,4281.257,-16.01,-1.3766,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_217,41,217,4259.573,4273.819,-14.246,-1.2249,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_218,42,218,4254.157,4268.277,-14.12,-1.2141,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_219,42,219,4248.857,4264.389,-15.532,-1.3355,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_220,42,220,4243.872,4261.794,-17.922,-1.541,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_221,42,221,4245.224,4256.054,-10.83,-0.9312,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_222,42,222,4255.645,4247.624,8.021,0.6896,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_223,43,223,4250.645,4239.82,10.825,0.9307,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_224,43,224,4236.486,4227.34,9.146,0.7864,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_225,43,225,4226.459,4220.663,5.796,0.4984,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_226,43,226,4219.656,4218.283,1.374,0.1181,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_227,43,227,4216.09,4223.273,-7.182,-0.6175,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_228,44,228,4216.09,4217.823,-1.732,-0.1489,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_229,44,229,4213.245,4215.527,-2.282,-0.1962,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_230,44,230,4205.852,4207.485,-1.633,-0.1404,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_231,44,231,4198.965,4200.137,-1.171,-0.1007,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_232,44,232,4194.856,4196.004,-1.148,-0.0987,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_233,45,233,4189.259,4191.87,-2.611,-0.2245,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_234,45,234,4184.164,4188.06,-3.896,-0.335,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_235,45,235,4180.635,4184.342,-3.706,-0.3187,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_236,45,236,4177.106,4180.15,-3.045,-0.2618,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_237,45,237,4173.665,4167.886,5.779,0.4969,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_238,46,238,4171.86,4162.275,9.585,0.8241,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_239,46,239,4164.304,4158.334,5.97,0.5133,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_240,46,240,4156.04,4154.565,1.475,0.1268,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_241,46,241,4147.776,4149.371,-1.596,-0.1372,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_242,46,242,4139.511,4142.23,-2.719,-0.2338,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_243,47,243,4131.247,4136.252,-5.005,-0.4303,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_244,47,244,4120.731,4129.093,-8.362,-0.719,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_245,47,245,4116.46,4125.022,-8.562,-0.7362,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_246,47,246,4111.641,4118.72,-7.08,-0.6087,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_247,47,247,4104.178,4113.369,-9.191,-0.7903,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_248,48,248,4096.947,4107.497,-10.55,-0.9071,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_249,48,249,4085.064,4108.766,-23.702,-2.038,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
