gis,year,free_v2_m,free_v3_m,free_v3_minus_v2_m,prescribed_v2_m,prescribed_v3_m,prescribed_v3_minus_v2_m
45,1987,150.0,172.6,22.599999999999994,150.0,172.6,22.599999999999994
45,1988,150.0,172.6,22.599999999999994,150.0,172.6,22.599999999999994
45,1989,150.0,172.6,22.599999999999994,150.0,172.6,22.599999999999994
45,1990,150.0,172.6,22.599999999999994,150.0,172.6,22.599999999999994
45,1991,150.0,172.6,22.599999999999994,150.0,172.6,22.599999999999994
45,1992,150.0,172.6,22.599999999999994,150.0,172.6,22.599999999999994
45,1993,150.0,172.6,22.599999999999994,150.0,172.6,22.599999999999994
45,1994,140.0,162.6,22.599999999999994,140.0,162.6,22.599999999999994
45,1995,140.0,162.6,22.599999999999994,140.0,162.6,22.599999999999994
45,1996,140.0,162.6,22.599999999999994,140.0,162.6,22.599999999999994
45,1997,140.0,162.6,22.599999999999994,140.0,162.6,22.599999999999994
45,1998,140.0,162.6,22.599999999999994,140.0,162.6,22.599999999999994
45,1999,140.0,162.6,22.599999999999994,140.0,162.6,22.599999999999994
45,2000,140.0,162.6,22.599999999999994,140.0,162.6,22.599999999999994
45,2001,140.0,162.6,22.599999999999994,140.0,162.6,22.599999999999994
45,2002,140.0,162.6,22.599999999999994,140.0,162.6,22.599999999999994
45,2003,140.0,162.6,22.599999999999994,140.0,162.6,22.599999999999994
45,2004,140.0,162.6,22.599999999999994,140.0,162.6,22.599999999999994
46,1984,150.0,162.2,12.199999999999989,150.0,162.2,12.199999999999989
46,1985,150.0,162.2,12.199999999999989,150.0,162.2,12.199999999999989
46,1986,150.0,162.2,12.199999999999989,150.0,162.2,12.199999999999989
46,1987,150.0,162.2,12.199999999999989,150.0,162.2,12.199999999999989
46,1988,150.0,162.2,12.199999999999989,150.0,162.2,12.199999999999989
46,1989,150.0,162.2,12.199999999999989,150.0,162.2,12.199999999999989
46,1990,150.0,162.2,12.199999999999989,150.0,162.2,12.199999999999989
46,1991,150.0,162.2,12.199999999999989,150.0,162.2,12.199999999999989
46,1992,150.0,162.2,12.199999999999989,150.0,162.2,12.199999999999989
46,1993,150.0,162.2,12.199999999999989,150.0,162.2,12.199999999999989
46,1994,150.0,162.2,12.199999999999989,150.0,162.2,12.199999999999989
46,1995,150.0,162.2,12.199999999999989,150.0,162.2,12.199999999999989
46,1996,140.0,152.2,12.199999999999989,140.0,152.2,12.199999999999989
46,1997,140.0,152.2,12.199999999999989,140.0,152.2,12.199999999999989
46,1998,140.0,152.2,12.199999999999989,140.0,152.2,12.199999999999989
46,1999,140.0,152.2,12.199999999999989,140.0,152.2,12.199999999999989
46,2000,140.0,152.2,12.199999999999989,140.0,152.2,12.199999999999989
46,2001,140.0,152.2,12.199999999999989,140.0,152.2,12.199999999999989
46,2002,140.0,152.2,12.199999999999989,140.0,152.2,12.199999999999989
46,2003,140.0,152.2,12.199999999999989,140.0,152.2,12.199999999999989
46,2004,140.0,152.2,12.199999999999989,140.0,152.2,12.199999999999989
47,1984,150.0,162.2,12.199999999999989,150.0,162.2,12.199999999999989
47,1985,150.0,162.2,12.199999999999989,150.0,162.2,12.199999999999989
47,1986,150.0,162.2,12.199999999999989,150.0,162.2,12.199999999999989
47,1987,150.0,162.2,12.199999999999989,150.0,162.2,12.199999999999989
47,1988,140.0,152.2,12.199999999999989,140.0,152.2,12.199999999999989
47,1989,140.0,152.2,12.199999999999989,140.0,152.2,12.199999999999989
47,1990,140.0,152.2,12.199999999999989,140.0,152.2,12.199999999999989
47,1991,140.0,152.2,12.199999999999989,140.0,152.2,12.199999999999989
47,1992,140.0,152.2,12.199999999999989,140.0,152.2,12.199999999999989
47,1993,140.0,152.2,12.199999999999989,140.0,152.2,12.199999999999989
47,1994,140.0,152.2,12.199999999999989,140.0,152.2,12.199999999999989
47,1995,140.0,152.2,12.199999999999989,140.0,152.2,12.199999999999989
47,1996,140.0,152.2,12.199999999999989,140.0,152.2,12.199999999999989
47,1997,140.0,152.2,12.199999999999989,140.0,152.2,12.199999999999989
47,1998,130.0,142.2,12.199999999999989,130.0,142.2,12.199999999999989
47,1999,130.0,142.2,12.199999999999989,130.0,142.2,12.199999999999989
47,2000,130.0,142.2,12.199999999999989,130.0,142.2,12.199999999999989
47,2001,130.0,142.2,12.199999999999989,130.0,142.2,12.199999999999989
47,2002,130.0,142.2,12.199999999999989,130.0,142.2,12.199999999999989
47,2003,130.0,142.2,12.199999999999989,130.0,142.2,12.199999999999989
47,2004,130.0,142.2,12.199999999999989,130.0,142.2,12.199999999999989
48,1984,150.0,161.2,11.199999999999989,150.0,161.2,11.199999999999989
48,1985,150.0,161.2,11.199999999999989,150.0,161.2,11.199999999999989
48,1986,150.0,161.2,11.199999999999989,150.0,161.2,11.199999999999989
48,1987,150.0,161.2,11.199999999999989,150.0,161.2,11.199999999999989
48,1988,150.0,161.2,11.199999999999989,150.0,161.2,11.199999999999989
48,1989,150.0,161.2,11.199999999999989,150.0,161.2,11.199999999999989
48,1990,140.0,151.2,11.199999999999989,140.0,151.2,11.199999999999989
48,1991,140.0,151.2,11.199999999999989,140.0,151.2,11.199999999999989
48,1992,140.0,151.2,11.199999999999989,140.0,151.2,11.199999999999989
48,1993,140.0,151.2,11.199999999999989,140.0,151.2,11.199999999999989
48,1994,140.0,151.2,11.199999999999989,140.0,151.2,11.199999999999989
48,1995,140.0,151.2,11.199999999999989,140.0,151.2,11.199999999999989
48,1996,140.0,151.2,11.199999999999989,140.0,151.2,11.199999999999989
48,1997,140.0,151.2,11.199999999999989,140.0,151.2,11.199999999999989
48,1998,140.0,151.2,11.199999999999989,140.0,151.2,11.199999999999989
48,1999,140.0,151.2,11.199999999999989,140.0,151.2,11.199999999999989
48,2000,130.0,141.2,11.199999999999989,130.0,141.2,11.199999999999989
48,2001,130.0,141.2,11.199999999999989,130.0,141.2,11.199999999999989
48,2002,130.0,141.2,11.199999999999989,130.0,141.2,11.199999999999989
48,2003,130.0,141.2,11.199999999999989,130.0,141.2,11.199999999999989
48,2004,130.0,141.2,11.199999999999989,130.0,141.2,11.199999999999989
49,1984,90.0,121.6,31.599999999999994,90.0,121.6,31.599999999999994
49,1985,80.0,111.6,31.599999999999994,80.0,111.6,31.599999999999994
49,1986,80.0,111.6,31.599999999999994,80.0,111.6,31.599999999999994
49,1987,80.0,111.6,31.599999999999994,80.0,111.6,31.599999999999994
49,1988,80.0,111.6,31.599999999999994,80.0,111.6,31.599999999999994
49,1989,80.0,111.6,31.599999999999994,80.0,111.6,31.599999999999994
49,1990,80.0,111.6,31.599999999999994,80.0,111.6,31.599999999999994
49,1991,80.0,111.6,31.599999999999994,80.0,111.6,31.599999999999994
49,1992,70.0,101.6,31.599999999999994,70.0,101.6,31.599999999999994
49,1993,70.0,101.6,31.599999999999994,70.0,101.6,31.599999999999994
49,1994,70.0,101.6,31.599999999999994,70.0,101.6,31.599999999999994
49,1995,70.0,101.6,31.599999999999994,70.0,101.6,31.599999999999994
49,1996,70.0,101.6,31.599999999999994,70.0,101.6,31.599999999999994
49,1997,70.0,101.6,31.599999999999994,70.0,101.6,31.599999999999994
49,1998,70.0,101.6,31.599999999999994,70.0,101.6,31.599999999999994
49,1999,70.0,101.6,31.599999999999994,70.0,101.6,31.599999999999994
49,2000,70.0,101.6,31.599999999999994,70.0,101.6,31.599999999999994
49,2001,70.0,101.6,31.599999999999994,70.0,101.6,31.599999999999994
49,2002,60.0,91.6,31.599999999999994,60.0,91.6,31.599999999999994
49,2003,60.0,91.6,31.599999999999994,60.0,91.6,31.599999999999994
49,2004,60.0,91.6,31.599999999999994,60.0,91.6,31.599999999999994
50,1984,90.0,128.8,38.80000000000001,90.0,128.8,38.80000000000001
50,1985,90.0,128.8,38.80000000000001,90.0,128.8,38.80000000000001
50,1986,80.0,118.8,38.8,80.0,118.8,38.8
50,1987,80.0,118.8,38.8,80.0,118.8,38.8
50,1988,80.0,118.8,38.8,80.0,118.8,38.8
50,1989,80.0,118.8,38.8,80.0,118.8,38.8
50,1990,80.0,118.8,38.8,80.0,118.8,38.8
50,1991,80.0,118.8,38.8,80.0,118.8,38.8
50,1992,80.0,118.8,38.8,80.0,118.8,38.8
50,1993,80.0,118.8,38.8,80.0,118.8,38.8
50,1994,70.0,108.8,38.8,70.0,108.8,38.8
50,1995,70.0,108.8,38.8,70.0,108.8,38.8
50,1996,70.0,108.8,38.8,70.0,108.8,38.8
50,1997,70.0,108.8,38.8,70.0,108.8,38.8
50,1998,70.0,108.8,38.8,70.0,108.8,38.8
50,1999,70.0,108.8,38.8,70.0,108.8,38.8
50,2000,70.0,108.8,38.8,70.0,108.8,38.8
50,2001,70.0,108.8,38.8,70.0,108.8,38.8
50,2002,70.0,108.8,38.8,70.0,108.8,38.8
50,2003,70.0,108.8,38.8,70.0,108.8,38.8
50,2004,60.0,98.8,38.8,60.0,98.8,38.8
51,1984,155.0,183.1,28.099999999999994,155.0,183.1,28.099999999999994
51,1985,155.0,183.1,28.099999999999994,155.0,183.1,28.099999999999994
51,1986,155.0,183.1,28.099999999999994,155.0,183.1,28.099999999999994
51,1987,155.0,183.1,28.099999999999994,155.0,183.1,28.099999999999994
51,1988,145.0,173.1,28.099999999999994,145.0,173.1,28.099999999999994
51,1989,145.0,173.1,28.099999999999994,145.0,173.1,28.099999999999994
51,1990,145.0,173.1,28.099999999999994,145.0,173.1,28.099999999999994
51,1991,145.0,173.1,28.099999999999994,145.0,173.1,28.099999999999994
51,1992,145.0,173.1,28.099999999999994,145.0,173.1,28.099999999999994
51,1993,145.0,173.1,28.099999999999994,145.0,173.1,28.099999999999994
51,1994,145.0,173.1,28.099999999999994,145.0,173.1,28.099999999999994
51,1995,145.0,173.1,28.099999999999994,145.0,173.1,28.099999999999994
51,1996,145.0,173.1,28.099999999999994,145.0,173.1,28.099999999999994
51,1997,135.0,163.1,28.099999999999994,135.0,163.1,28.099999999999994
51,1998,135.0,163.1,28.099999999999994,135.0,163.1,28.099999999999994
51,1999,135.0,163.1,28.099999999999994,135.0,163.1,28.099999999999994
51,2000,135.0,163.1,28.099999999999994,135.0,163.1,28.099999999999994
51,2001,135.0,163.1,28.099999999999994,135.0,163.1,28.099999999999994
51,2002,135.0,163.1,28.099999999999994,135.0,163.1,28.099999999999994
51,2003,135.0,163.1,28.099999999999994,135.0,163.1,28.099999999999994
51,2004,135.0,163.1,28.099999999999994,135.0,163.1,28.099999999999994
52,1984,170.0,187.8,17.80000000000001,170.0,187.8,17.80000000000001
52,1985,160.0,177.8,17.80000000000001,160.0,177.8,17.80000000000001
52,1986,160.0,177.8,17.80000000000001,160.0,177.8,17.80000000000001
52,1987,160.0,177.8,17.80000000000001,160.0,177.8,17.80000000000001
52,1988,160.0,177.8,17.80000000000001,160.0,177.8,17.80000000000001
52,1989,160.0,177.8,17.80000000000001,160.0,177.8,17.80000000000001
52,1990,160.0,177.8,17.80000000000001,160.0,177.8,17.80000000000001
52,1991,150.0,167.8,17.80000000000001,150.0,167.8,17.80000000000001
52,1992,150.0,167.8,17.80000000000001,150.0,167.8,17.80000000000001
52,1993,150.0,167.8,17.80000000000001,150.0,167.8,17.80000000000001
52,1994,150.0,167.8,17.80000000000001,150.0,167.8,17.80000000000001
52,1995,150.0,167.8,17.80000000000001,150.0,167.8,17.80000000000001
52,1996,150.0,167.8,17.80000000000001,150.0,167.8,17.80000000000001
52,1997,150.0,167.8,17.80000000000001,150.0,167.8,17.80000000000001
52,1998,150.0,167.8,17.80000000000001,150.0,167.8,17.80000000000001
52,1999,150.0,167.8,17.80000000000001,150.0,167.8,17.80000000000001
52,2000,150.0,167.8,17.80000000000001,150.0,167.8,17.80000000000001
52,2001,150.0,167.8,17.80000000000001,150.0,167.8,17.80000000000001
52,2002,140.0,157.8,17.80000000000001,140.0,157.8,17.80000000000001
52,2003,140.0,157.8,17.80000000000001,140.0,157.8,17.80000000000001
52,2004,140.0,157.8,17.80000000000001,140.0,157.8,17.80000000000001
53,1984,170.0,177.7,7.699999999999989,170.0,177.7,7.699999999999989
53,1985,170.0,177.7,7.699999999999989,170.0,177.7,7.699999999999989
53,1986,170.0,177.7,7.699999999999989,170.0,177.7,7.699999999999989
53,1987,170.0,177.7,7.699999999999989,170.0,177.7,7.699999999999989
53,1988,160.0,167.7,7.699999999999989,160.0,167.7,7.699999999999989
53,1989,160.0,167.7,7.699999999999989,160.0,167.7,7.699999999999989
53,1990,160.0,167.7,7.699999999999989,160.0,167.7,7.699999999999989
53,1991,160.0,167.7,7.699999999999989,160.0,167.7,7.699999999999989
53,1992,160.0,167.7,7.699999999999989,160.0,167.7,7.699999999999989
53,1993,160.0,167.7,7.699999999999989,160.0,167.7,7.699999999999989
53,1994,160.0,167.7,7.699999999999989,160.0,167.7,7.699999999999989
53,1995,160.0,167.7,7.699999999999989,160.0,167.7,7.699999999999989
53,1996,160.0,167.7,7.699999999999989,160.0,167.7,7.699999999999989
53,1997,160.0,167.7,7.699999999999989,160.0,167.7,7.699999999999989
53,1998,150.0,157.7,7.699999999999989,150.0,157.7,7.699999999999989
53,1999,150.0,157.7,7.699999999999989,150.0,157.7,7.699999999999989
53,2000,150.0,157.7,7.699999999999989,150.0,157.7,7.699999999999989
53,2001,150.0,157.7,7.699999999999989,150.0,157.7,7.699999999999989
53,2002,150.0,157.7,7.699999999999989,150.0,157.7,7.699999999999989
53,2003,150.0,157.7,7.699999999999989,150.0,157.7,7.699999999999989
53,2004,150.0,157.7,7.699999999999989,150.0,157.7,7.699999999999989
54,1984,160.0,189.1,29.099999999999994,160.0,189.1,29.099999999999994
54,1985,150.0,179.1,29.099999999999994,150.0,179.1,29.099999999999994
54,1986,150.0,179.1,29.099999999999994,150.0,179.1,29.099999999999994
54,1987,150.0,179.1,29.099999999999994,150.0,179.1,29.099999999999994
54,1988,150.0,179.1,29.099999999999994,150.0,179.1,29.099999999999994
54,1989,150.0,179.1,29.099999999999994,150.0,179.1,29.099999999999994
54,1990,150.0,179.1,29.099999999999994,150.0,179.1,29.099999999999994
54,1991,150.0,179.1,29.099999999999994,150.0,179.1,29.099999999999994
54,1992,150.0,179.1,29.099999999999994,150.0,179.1,29.099999999999994
54,1993,150.0,179.1,29.099999999999994,150.0,179.1,29.099999999999994
54,1994,150.0,179.1,29.099999999999994,150.0,179.1,29.099999999999994
54,1995,140.0,169.1,29.099999999999994,140.0,169.1,29.099999999999994
54,1996,140.0,169.1,29.099999999999994,140.0,169.1,29.099999999999994
54,1997,140.0,169.1,29.099999999999994,140.0,169.1,29.099999999999994
54,1998,140.0,169.1,29.099999999999994,140.0,169.1,29.099999999999994
54,1999,140.0,169.1,29.099999999999994,140.0,169.1,29.099999999999994
54,2000,140.0,169.1,29.099999999999994,140.0,169.1,29.099999999999994
54,2001,140.0,169.1,29.099999999999994,140.0,169.1,29.099999999999994
54,2002,140.0,169.1,29.099999999999994,140.0,169.1,29.099999999999994
54,2003,140.0,169.1,29.099999999999994,140.0,169.1,29.099999999999994
54,2004,140.0,169.1,29.099999999999994,140.0,169.1,29.099999999999994
55,1984,170.0,181.6,11.599999999999994,170.0,181.6,11.599999999999994
55,1985,170.0,181.6,11.599999999999994,170.0,181.6,11.599999999999994
55,1986,170.0,181.6,11.599999999999994,170.0,181.6,11.599999999999994
55,1987,170.0,181.6,11.599999999999994,170.0,181.6,11.599999999999994
55,1988,170.0,181.6,11.599999999999994,170.0,181.6,11.599999999999994
55,1989,170.0,181.6,11.599999999999994,170.0,181.6,11.599999999999994
