domain_number,coastsat_loess_m_yr,endpoint_raw_m_yr,endpoint_loess_m_yr,model_endpoint_coastsat_m_yr,model_lrr_coastsat_m_yr,resid_lrr_coastsat_vs_coastsat_loess_m_yr,resid_endpoint_coastsat_vs_endpoint_raw_m_yr,resid_endpoint_coastsat_vs_endpoint_loess_m_yr,model_endpoint_dunemean3_m_yr,model_lrr_dunemean3_m_yr,resid_lrr_dunemean3_vs_coastsat_loess_m_yr,resid_endpoint_dunemean3_vs_endpoint_raw_m_yr,resid_endpoint_dunemean3_vs_endpoint_loess_m_yr,model_endpoint_duneraw_m_yr,model_lrr_duneraw_m_yr,resid_lrr_duneraw_vs_coastsat_loess_m_yr,resid_endpoint_duneraw_vs_endpoint_raw_m_yr,resid_endpoint_duneraw_vs_endpoint_loess_m_yr
31,1.8401237357158136,2.515,1.057879665944686,-0.2079954920675715,-0.3503981812343159,-2.1905219169501295,-2.7229954920675716,-1.2658751580122576,-0.2082000242483315,-0.3505281265658032,-2.1906518622816167,-2.7232000242483316,-1.2660796901930176,-0.208129545952683,-0.3504834300846547,-2.1906071658004684,-2.723129545952683,-1.2660092118973691
32,1.3119953058181935,1.459,1.0461113200248338,-0.3478871921170139,-0.5240357427479753,-1.8360310485661686,-1.806887192117014,-1.3939985121418477,-0.3480080123660757,-0.5241110276253547,-1.8361063334435481,-1.8070080123660759,-1.3941193323909093,-0.3479664199009806,-0.5240851532578369,-1.8360804590760305,-1.8069664199009807,-1.3940777399258144
33,0.6133368457799003,1.083,0.6918458007788741,-0.6613187877312937,-0.7864446233077512,-1.3997814690876516,-1.7443187877312938,-1.3531645885101677,-0.6613894365853932,-0.7864878368166794,-1.3998246825965799,-1.7443894365853931,-1.3532352373642673,-0.6613651372789329,-0.7864729960652684,-1.3998098418451688,-1.7443651372789328,-1.353210938057807
34,-0.04222493206051212,0.292,0.1123499616665462,-1.1442462160289977,-1.1145570291407216,-1.0723320970802095,-1.4362462160289977,-1.2565961776955439,-1.1442871320328518,-1.1145816167855949,-1.0723566847250827,-1.4362871320328519,-1.256637093699398,-1.1442730707588322,-1.1145731785813584,-1.0723482465208463,-1.4362730707588323,-1.2566230324253784
35,-0.3646452992229732,-4.1,-0.4788544956968823,-1.6681794165494597,-1.4298617964235665,-1.0652164972005933,2.43182058345054,-1.1893249208525773,-1.6682028949075434,-1.429875668778106,-1.0652303695551328,2.431797105092456,-1.189348399210661,-1.668194832444377,-1.4298709110430872,-1.065225611820114,2.4318051675556225,-1.1893403367474946
36,-0.5014010080213203,-2.331,-0.959451091908704,-1.6987091601114506,-1.5614280197067356,-1.0600270116854154,0.6322908398885494,-0.7392580682027465,-1.6987225167315825,-1.5614357852576417,-1.0600347772363214,0.6322774832684175,-0.7392714248228784,-1.6987179333251077,-1.561433123565953,-1.0600321155446328,0.6322820666748923,-0.7392668414164036
37,-0.5491781026247462,-2.139,-1.347824935265055,-1.8261125596814705,-1.644355292073394,-1.0951771894486477,0.31288744031852933,-0.47828762441641537,-1.8261200914931968,-1.644359604194415,-1.0951815015696689,0.31287990850680303,-0.47829515622814167,-1.826117508611008,-1.644358127029286,-1.0951800244045398,0.3128824913889918,-0.4782925733459529
38,-0.3687638612106938,-2.086,-1.5665156051733837,-1.7853693583316013,-1.6168646314161272,-1.2481007702054334,0.3006306416683986,-0.21885375315821753,-1.785373570099182,-1.6168670076086595,-1.2481031463979657,0.3006264299008179,-0.21885796492579823,-1.785372126644948,-1.616866194050782,-1.2481023328400882,0.3006278733550518,-0.2188565214715643
39,0.15390491525026584,-1.193,-1.495368219253173,-1.5842724270829165,-1.4886212668281609,-1.6425261820784267,-0.39127242708291643,-0.08890420782974351,-1.5842747634950294,-1.4886225666584407,-1.6425274819087066,-0.3912747634950293,-0.0889065442418564,-1.58427396321518,-1.4886221218437374,-1.6425270370940033,-0.39127396321518004,-0.08890574396200712
40,0.6406221611777262,-1.452,-1.2587831003516692,-1.352474872783335,-1.306387633150638,-1.9470097943283644,0.09952512721666507,-0.09369177243166571,-1.3524761590420635,-1.3063883392438322,-1.9470105004215585,0.09952384095793643,-0.09369305869039435,-1.3524757186890253,-1.3063880977186488,-1.9470102588963751,0.09952428131097468,-0.09369261833735609
