domain,number_of_samples,road_1984_length_m,mean_relocation_m,median_relocation_m,minimum_relocation_m,maximum_relocation_m,std_relocation_m,mean_signed_landward_m,median_signed_landward_m,landward_fraction,sign_agreement,coincident_fraction,oblique_fraction,classification,flags
46,102,501.1956116082111,0.610729515915054,0.6969902128710057,0.013103424665385627,0.9399884672550533,0.2504800969440404,-0.17641093362269733,-0.6984912717999935,0.4189189189189189,0.5810810810810811,0.27450980392156865,0.0,redigitized,REDIGITIZED
47,102,501.0637831486873,0.14436538673098046,0.0015010651235299502,0.0,0.5744594166340259,0.1870626816251078,0.5401719794583236,0.5401719794659714,1.0,1.0,0.9313725490196079,0.0,no_edit,NO_EDIT
48,102,501.06719517381777,1.0842603503489027e-11,0.0,0.0,5.820766091346741e-11,2.2661874093207527e-11,,,,,1.0,0.0,no_edit,NO_EDIT
49,102,501.08225862804125,9.701276818911234e-12,0.0,0.0,5.820766091346741e-11,2.169271443562844e-11,,,,,1.0,0.0,no_edit,NO_EDIT
50,102,501.06816007893076,9.701276818911234e-12,0.0,0.0,5.820766091346741e-11,2.169271443562844e-11,,,,,1.0,0.0,no_edit,NO_EDIT
51,102,501.07711932460194,4.565306738311169e-12,0.0,0.0,5.820766091346741e-11,1.564908307137243e-11,,,,,1.0,0.0,no_edit,NO_EDIT
52,102,501.78373396595333,1.1413266845777923e-11,0.0,0.0,5.820766091346741e-11,2.3110103988970445e-11,,,,,1.0,0.0,no_edit,NO_EDIT
53,102,502.9492084313433,1.6549236926377988e-11,0.0,0.0,5.820766091346741e-11,2.6256715875026156e-11,,,,,1.0,0.0,no_edit,NO_EDIT
54,102,502.95806371116726,1.3125256872644612e-11,0.0,0.0,5.820766091346741e-11,2.4325257110093426e-11,,,,,1.0,0.0,no_edit,NO_EDIT
55,102,502.98328053272434,1.2554593530355716e-11,0.0,0.0,5.820766091346741e-11,2.394067050875784e-11,,,,,1.0,0.0,no_edit,NO_EDIT
56,102,502.9336012028708,9.130613476622338e-12,0.0,0.0,5.820766091346741e-11,2.116845650300681e-11,,,,,1.0,0.0,no_edit,NO_EDIT
57,102,502.96362850431956,1.48372468995113e-11,0.0,0.0,5.820766091346741e-11,2.5367253317201915e-11,,,,,1.0,0.0,no_edit,NO_EDIT
58,102,502.9339792709849,1.4266583557222403e-11,0.0,0.0,5.820766091346741e-11,2.5037752528876125e-11,,,,,1.0,0.0,no_edit,NO_EDIT
59,102,502.9984571213864,1.769056361095578e-11,0.0,0.0,5.820766091346741e-11,2.677256594279612e-11,,,,,1.0,0.0,no_edit,NO_EDIT
60,102,503.9387421227666,2.2255870349266948e-11,0.0,0.0,5.820766091346741e-11,2.8286717547655547e-11,,,,,1.0,0.0,no_edit,NO_EDIT
61,103,507.3128016876339,2.3170039781088967e-11,0.0,0.0,5.820766091346741e-11,2.849250911155302e-11,,,,,1.0,0.0,no_edit,NO_EDIT
62,103,507.21869440769467,1.5823441801719295e-11,0.0,0.0,5.820766091346741e-11,2.589718564682396e-11,,,,,1.0,0.0,no_edit,NO_EDIT
63,103,507.215575204302,2.0344425173639094e-11,0.0,0.0,5.820766091346741e-11,2.7754382831199725e-11,,,,,1.0,0.0,no_edit,NO_EDIT
64,103,507.28086876351165,2.0344425173639094e-11,0.0,0.0,5.820766091346741e-11,2.7754382831199725e-11,,,,,1.0,0.0,no_edit,NO_EDIT
65,103,507.2837579880394,2.4300285624068916e-11,0.0,0.0,5.820766091346741e-11,2.870468436152677e-11,,,,,1.0,0.0,no_edit,NO_EDIT
66,103,507.293858038361,1.6953687644699244e-11,0.0,0.0,5.820766091346741e-11,2.6446303652901427e-11,,,,,1.0,0.0,no_edit,NO_EDIT
67,102,504.3144563906019,1.0271940161200131e-11,0.0,0.0,5.820766091346741e-11,2.2189926884766625e-11,,,,,1.0,0.0,no_edit,NO_EDIT
68,103,505.83051384604045,1.7518810566189218e-11,0.0,0.0,5.820766091346741e-11,2.6698694001579716e-11,,,,,1.0,0.0,no_edit,NO_EDIT
69,106,523.9083053059301,2.8005572703649413e-11,0.0,0.0,5.820766091346741e-11,2.9083101230131742e-11,,,,,1.0,0.0,no_edit,NO_EDIT
70,110,543.335126519974,4.180368374694477e-11,5.820766091346741e-11,0.0,1.1641532182693481e-10,3.608005869314664e-11,,,,,1.0,0.0,no_edit,NO_EDIT
71,103,505.7685178541606,9.607089665329573e-12,0.0,0.0,1.1641532182693481e-10,2.3080273233740783e-11,,,,,1.0,0.0,no_edit,NO_EDIT
